config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	avg_rmse	avg_bz_rmse	score
6	0.0	0.7	1.2	0.3	1.0	1.0	True	0.9227573722600937	0.741949200630188	1.2033278867602348
4	0.0	0.7	1.0	0.3	1.0	1.0	True	0.9382099658250809	0.7386532425880432	1.2077582255005836
2	0.0	0.7	0.8	0.3	1.0	1.0	True	0.9555559158325195	0.7350039184093475	1.2127818763256073
12	0.0	1.0	1.2	0.3	1.0	1.0	True	0.945359081029892	0.7401745617389679	1.2128541022539139
10	0.0	1.0	1.0	0.3	1.0	1.0	True	0.9592622816562653	0.7369595915079117	1.2165907323360443
8	0.0	1.0	0.8	0.3	1.0	1.0	True	0.9746884554624557	0.7336801439523697	1.2210243716835976
14	0.5	0.7	0.8	0.3	1.0	1.0	True	0.9213359206914902	0.7653308212757111	1.2259987816214561
16	0.5	0.7	1.0	0.3	1.0	1.0	True	0.9005715399980545	0.7778023928403854	1.2280881628394127
18	0.5	0.7	1.2	0.3	1.0	1.0	True	0.8828639388084412	0.7879162132740021	1.2293481826782227
20	0.5	1.0	0.8	0.3	1.0	1.0	True	0.9434644281864166	0.7617318332195282	1.2334640473127365
22	0.5	1.0	1.0	0.3	1.0	1.0	True	0.9245978444814682	0.7731299102306366	1.2354288324713707
24	0.5	1.0	1.2	0.3	1.0	1.0	True	0.9081089496612549	0.7834380865097046	1.237492561340332
5	0.0	0.7	1.2	0.0	1.0	1.0	True	0.6432938873767853	1.0250584334135056	1.3467053771018982
3	0.0	0.7	1.0	0.0	1.0	1.0	True	0.6491432040929794	1.0250767469406128	1.3496483489871025
11	0.0	1.0	1.2	0.0	1.0	1.0	True	0.651941329240799	1.0250469744205475	1.351017639040947
1	0.0	0.7	0.8	0.0	1.0	1.0	True	0.654886856675148	1.0254691690206528	1.3529125973582268
9	0.0	1.0	1.0	0.0	1.0	1.0	True	0.6562066376209259	1.025243267416954	1.353346586227417
13	0.5	0.7	0.8	0.0	1.0	1.0	True	0.6452237963676453	1.0322557538747787	1.3548676520586014
7	0.0	1.0	0.8	0.0	1.0	1.0	True	0.6603845357894897	1.0257305055856705	1.3559227734804153
15	0.5	0.7	1.0	0.0	1.0	1.0	True	0.6378819793462753	1.037484347820282	1.3564253374934196
19	0.5	1.0	0.8	0.0	1.0	1.0	True	0.6525828838348389	1.031299501657486	1.3575909435749054
17	0.5	0.7	1.2	0.0	1.0	1.0	True	0.6310314834117889	1.0424350649118423	1.3579508066177368
21	0.5	1.0	1.0	0.0	1.0	1.0	True	0.647058367729187	1.0356584638357162	1.3591876477003098
23	0.5	1.0	1.2	0.0	1.0	1.0	True	0.641733318567276	1.040221944451332	1.36108860373497
