dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.803689576425628	1.5449606424268225	0.11135510435100163	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	0.5124273206698521	1.3045178933674133	0.2080002123066156	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	0.9143010148262067	1.5469061450042054	0.09458591418665513	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	0.6439849521696674	1.3775406552588132	0.14193763705320966	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	0.7186007160228385		0.1389697169743705					
