seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	3	0.9982005329951052	0.9954020612606146				0.2134419889189303	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	3	0.9982005329951052	0.9954020612606146				0.22834023204632103	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	10	0.42678118623009653	0.664664699905049				0.22542539285495877	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9982005329951052	0.9954020612606146				0.34123289305716753	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	3	0.9982005329951052	0.9954020612606146				0.3068801809567958	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	8	0.4833442513037791	0.6998384807824969				0.3085802160203457	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9975962693100516	0.994120349069119				0.5223459221888334	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	3	0.9975962693100516	0.994120349069119				0.548454619012773	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	6	0.5865365454037791	0.7606273587190525				0.5848662110511214	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.997606349500669	0.9938711270058248				0.31063014501705766	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	3	0.997606349500669	0.9938711270058248				0.2365357771050185	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	8	0.4771782745428057	0.6972018960731015				0.2495918800123036	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.997606349500669	0.9938711270058248				0.3414372990373522	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	3	0.997606349500669	0.9938711270058248				0.31282544299028814	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	7	0.5235856799533123	0.7245312521312126				0.32314702100120485	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9981906318316567	0.9956513413594901				0.41824180888943374	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	3	0.9981906318316567	0.9956513413594901				0.45342559716664255	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	6	0.5788703290704403	0.7585459425175459				0.5168575511779636	groups_balanced_moderate_drop	raw	42
