seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	3	0.9945937142318949	0.98730803001609				0.4848766210488975	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	6	0.6958464026384473	0.7903041430858289				0.21201605978421867	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	11	0.4102976972510265	0.6509463163339836				0.21133246715180576	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9945937142318949	0.98730803001609				0.30367239797487855	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	6	0.6674191165744325	0.7809696341158906				0.29167903610505164	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	8	0.4757590774542732	0.692585183076026				0.2803338149096817	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9957928411010236	0.9897735046883079				0.3929242570884526	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	3	0.9957928411010236	0.9897735046883079				0.4219824830070138	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	6	0.5987045494344604	0.7612626554241406				0.4450843050144613	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9951972782940744	0.9887463991956964				0.21847258997149765	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	6	0.6847773090924933	0.7869264572093967				0.22586583602242172	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	9	0.4143429297125387	0.6640003392264775				0.21448404504917562	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9945937142318949	0.98730803001609				0.2968203949276358	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	5	0.7824148719021861	0.8391390186979059				0.29198024794459343	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	8	0.4889002429325614	0.6966304787653923				0.2868204549886286	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9963922556556483	0.9910537073761603				0.4063680551480502	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	3	0.9963922556556483	0.9910537073761603				0.4213149498682469	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	7	0.5346356566765561	0.7266049363282839				0.4730513992253691	groups_balanced_moderate_drop	raw	42
