config_id	p_bio_temp	p_bio_bias	thr_drop	proxy_drop_weight	proxy_impute_alpha	bio_soft_gamma	post_log_quantile	avg_mse	avg_bz_mse	score
106	3.0	1.0	0.998	0.6	0.5	8.0	0.0	0.9400206655263901	0.08757843170315027	0.5575887644663453
103	3.0	1.0	0.998	0.6	0.5	6.0	0.0	0.9398345500230789	0.08779889065772295	0.5577161656692624
107	3.0	1.0	0.998	0.6	0.5	8.0	0.01	0.9492211788892746	0.08757843170315027	0.5621890211477876
108	3.0	1.0	0.998	0.6	0.5	8.0	0.02	0.9492211788892746	0.08757843170315027	0.5621890211477876
104	3.0	1.0	0.998	0.6	0.5	6.0	0.01	0.9490350484848022	0.08779889065772295	0.5623164149001241
105	3.0	1.0	0.998	0.6	0.5	6.0	0.02	0.9490350484848022	0.08779889065772295	0.5623164149001241
100	3.0	1.0	0.998	0.6	0.3	8.0	0.0	0.9900203049182892	0.07327615842223167	0.5682863108813763
97	3.0	1.0	0.998	0.6	0.3	6.0	0.0	0.9897737205028534	0.07345108687877655	0.5683379471302032
101	3.0	1.0	0.998	0.6	0.3	8.0	0.01	1.0013398677110672	0.07319317013025284	0.5738631039857864
102	3.0	1.0	0.998	0.6	0.3	8.0	0.02	1.0013765096664429	0.07318740338087082	0.5738756582140923
98	3.0	1.0	0.998	0.6	0.3	6.0	0.01	1.001069575548172	0.07337130233645439	0.5739060901105404
99	3.0	1.0	0.998	0.6	0.3	6.0	0.02	1.001115620136261	0.07336553744971752	0.573923347517848
94	3.0	1.0	0.998	0.3	0.5	8.0	0.0	1.012400597333908	0.07032804191112518	0.5765283405780792
91	3.0	1.0	0.998	0.3	0.5	6.0	0.0	1.0122083723545074	0.07051807921379805	0.5766222653910518
95	3.0	1.0	0.998	0.3	0.5	8.0	0.01	1.021600529551506	0.07032804191112518	0.5811283066868782
96	3.0	1.0	0.998	0.3	0.5	8.0	0.02	1.021600529551506	0.07032804191112518	0.5811283066868782
92	3.0	1.0	0.998	0.3	0.5	6.0	0.01	1.0214065164327621	0.07051807921379805	0.5812213374301791
93	3.0	1.0	0.998	0.3	0.5	6.0	0.02	1.0214083641767502	0.07051807921379805	0.5812222613021731
88	3.0	1.0	0.998	0.3	0.3	8.0	0.0	1.0559018552303314	0.06003558076918125	0.587986508384347
85	3.0	1.0	0.998	0.3	0.3	6.0	0.0	1.0556450635194778	0.060191077180206776	0.5880136089399457
142	3.0	1.0	0.999	0.6	0.5	8.0	0.0	1.050074964761734	0.06503926217556	0.590076744556427
139	3.0	1.0	0.999	0.6	0.5	6.0	0.0	1.0499876737594604	0.06512694340199232	0.5901207802817225
89	3.0	1.0	0.998	0.3	0.3	8.0	0.01	1.066783994436264	0.05998043157160282	0.5933724287897348
86	3.0	1.0	0.998	0.3	0.3	6.0	0.01	1.066507175564766	0.060135796666145325	0.5933893844485283
90	3.0	1.0	0.998	0.3	0.3	8.0	0.02	1.066834643483162	0.059974669478833675	0.5933919912204146
87	3.0	1.0	0.998	0.3	0.3	6.0	0.02	1.0665583163499832	0.06013003271073103	0.5934091908857226
82	3.0	1.0	0.998	0.0	0.5	8.0	0.0	1.0666768103837967	0.06018854212015867	0.593526947312057
79	3.0	1.0	0.998	0.0	0.5	6.0	0.0	1.0664871782064438	0.06035723723471165	0.5936008263379335
143	3.0	1.0	0.999	0.6	0.5	8.0	0.01	1.059272974729538	0.06503926217556	0.594675749540329
144	3.0	1.0	0.999	0.6	0.5	8.0	0.02	1.059272974729538	0.06503926217556	0.594675749540329
140	3.0	1.0	0.999	0.6	0.5	6.0	0.01	1.0591857433319092	0.06512694340199232	0.5947198150679469
141	3.0	1.0	0.999	0.6	0.5	6.0	0.02	1.0591857433319092	0.06512694340199232	0.5947198150679469
83	3.0	1.0	0.998	0.0	0.5	8.0	0.01	1.0758748948574066	0.06018854212015867	0.598125989548862
84	3.0	1.0	0.998	0.0	0.5	8.0	0.02	1.0758748948574066	0.06018854212015867	0.598125989548862
80	3.0	1.0	0.998	0.0	0.5	6.0	0.01	1.0756851881742477	0.06035723723471165	0.5981998313218355
81	3.0	1.0	0.998	0.0	0.5	6.0	0.02	1.0756851881742477	0.06035723723471165	0.5981998313218355
136	3.0	1.0	0.999	0.6	0.3	8.0	0.0	1.0904500186443329	0.0558135099709034	0.6010385192930698
133	3.0	1.0	0.999	0.6	0.3	6.0	0.0	1.0903307795524597	0.05588580388575792	0.6010511936619878
76	3.0	1.0	0.998	0.0	0.3	8.0	0.0	1.1059593558311462	0.05200520344078541	0.6049848813563585
73	3.0	1.0	0.998	0.0	0.3	6.0	0.0	1.1057038307189941	0.052145810797810555	0.6049977261573076
137	3.0	1.0	0.999	0.6	0.3	8.0	0.01	1.1012056916952133	0.0557630704715848	0.6063659163191915
134	3.0	1.0	0.999	0.6	0.3	6.0	0.01	1.1010745018720627	0.05583530943840742	0.6063725603744388
138	3.0	1.0	0.999	0.6	0.3	8.0	0.02	1.101238176226616	0.05575730372220278	0.6063763918355107
135	3.0	1.0	0.999	0.6	0.3	6.0	0.02	1.1011129170656204	0.05582954362034798	0.6063860021531582
77	3.0	1.0	0.998	0.0	0.3	8.0	0.01	1.1166859567165375	0.05195401143282652	0.6102969897910953
