scenario	p_bio_temp	p_bio_bias	thr_drop	proxy_bio_weight	proxy_drop_weight	proxy_impute_alpha	proxy_impute_gamma	proxy_mean_mode	bio_soft_gamma	post_log_quantile	hard_zero_bio	keep_positive	avg_mse	avg_bz_mse	score
balanced	1.5	0.5	0.96	0.0	0.5	0.5	2.0	knn	4.0	0.0	True	True	0.7190674841403961	0.13866429217159748	0.49819803424179554
best_mse	1.8	-0.5	0.96	0.0	0.5	0.5	2.0	knn	0.0	0.0	True	True	0.507968083024025	0.35217082500457764	0.6061548665165901
