dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.821801916268355	1.5804938736722856	0.11096537249061358	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	0.5845557113825309	1.5091772380239283	0.17710900806135402	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	0.8891394175913766	1.499708932542744	0.11389637623247346	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	0.6977914339060014	1.5008175431699822	0.12564533508437592	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	0.748322119787066		0.13190402296720424					
