config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	avg_rmse	avg_bz_rmse	score
1	0.0	0.7	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
2	0.0	0.7	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
3	0.0	0.7	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
4	0.0	1.0	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
5	0.0	1.0	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
6	0.0	1.0	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
7	0.0	1.3	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
8	0.0	1.3	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
9	0.0	1.3	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
10	0.5	0.7	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
11	0.5	0.7	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
12	0.5	0.7	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
13	0.5	1.0	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
14	0.5	1.0	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
15	0.5	1.0	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
16	0.5	1.3	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
17	0.5	1.3	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
18	0.5	1.3	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
19	1.0	0.7	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
20	1.0	0.7	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
21	1.0	0.7	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
22	1.0	1.0	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
23	1.0	1.0	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
24	1.0	1.0	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
25	1.0	1.3	0.8	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
26	1.0	1.3	1.0	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
27	1.0	1.3	1.2	0.0	0.0	0.0	False	0.6965055763721466	1.0648579895496368	1.4131107777357101
