dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.853942492609461	1.3179426051535401	0.6219361583415658	0.08801173205051475	92300	36914	7279	48107
dataset_3_types_unequal	0.8401439677951235	1.3615506597011193	0.6643444329366417	0.037591077547202534	92600	33394	7662	51544
dataset_4_types_rare	1.0382331912344105	1.38779740425245	0.5350509312479219	0.1820744950631842	93200	50349	8182	34669
dataset_multibatch_dropout	0.9478807922719765	1.3180970539659478	0.4271347314667242	0.13559333061050463	291600	145828	36313	109459
AVG	0.9200501109777428		0.5621165634982134					
