iter	ari	mse	ok	hidden	bottleneck	p_zero	p_nz	noise_max	bio_reg_weight	lr	epochs
54	0.7685465482431212	0.9462271481752396	False	[128]	32	0.05	0.4	0.1	2.0	0.0001	300
55	0.7216487525150216	0.9086046069860458	False	[128, 64]	32	0.01	0.2	0.2	2.0	0.0001	200
56	0.7974550731575588	0.7921132668852806	False	[128, 64]	32	0.0	0.3	0.2	1.0	0.0001	300
57	0.8421013761307761	0.8916454315185547	False	[128]	32	0.05	0.4	0.2	0.5	0.0005	300
58	0.8410398759362415	0.7816694229841232	False	[64]	64	0.05	0.2	0.3	0.5	0.001	200
59	0.772391796810054	1.0736097395420074	False	[64]	64	0.0	0.3	0.1	2.0	0.001	300
60	0.8385930027185386	0.7658318132162094	False	[128]	32	0.01	0.4	0.3	0.5	0.0005	200
61	0.8427566131492066	0.728643499314785	True	[64]	64	0.0	0.4	0.2	0.5	0.0005	300
62	0.7981451262403791	0.7496989890933037	True	[128, 64]	64	0.05	0.4	0.3	1.0	0.0001	200
63	0.8302994625518096	0.9495584517717361	False	[64]	32	0.05	0.3	0.1	1.0	0.001	300
64	0.8603489713863561	0.8317607715725899	False	[64]	32	0.01	0.2	0.1	0.5	0.001	300
65	0.8300627932564464	0.875847227871418	False	[128, 64]	64	0.05	0.2	0.3	0.5	0.0005	300
66	0.8506438171675477	0.9205372780561447	False	[128]	32	0.0	0.4	0.1	0.5	0.001	200
67	0.8546734877575141	0.7708000689744949	False	[128, 64]	64	0.01	0.2	0.1	0.5	0.0005	200
68	0.8607876582554563	0.6031101122498512	True	[128]	32	0.01	0.2	0.3	0.5	0.0001	200
69	0.751181044480946	1.0770103335380554	False	[128, 64]	32	0.01	0.3	0.2	2.0	0.001	200
70	0.7771715390816036	1.2161356657743454	False	[128, 64]	32	0.05	0.3	0.3	2.0	0.001	300
71	0.8607876582554563	0.6031101122498512	True	[128]	32	0.01	0.2	0.3	0.5	0.0001	200
72	0.8297016504965272	0.6322670057415962	True	[128]	64	0.05	0.3	0.1	0.5	0.0001	200
73	0.6302083238328408	0.936110109090805	False	[128, 64]	64	0.05	0.2	0.1	2.0	0.0001	200
74	0.7357528228550592	1.3303975015878677	False	[128]	64	0.05	0.2	0.3	2.0	0.001	300
75	0.77047472490733	1.0006828159093857	False	[64]	64	0.0	0.4	0.2	2.0	0.0005	300
76	0.7960652639361304	0.8290539234876633	False	[128]	64	0.05	0.2	0.3	1.0	0.0001	300
77	0.7691929447160243	1.2033728659152985	False	[128, 64]	64	0.05	0.3	0.3	1.0	0.001	300
78	0.729189924998827	0.6985538005828857	True	[64]	32	0.0	0.2	0.2	1.0	0.0001	200
79	0.821256914235531	1.004770278930664	False	[128]	32	0.01	0.3	0.2	1.0	0.001	200
80	0.8396471462882655	1.1449381560087204	False	[128]	32	0.0	0.4	0.1	0.5	0.001	300
81	0.810340714568393	0.8987699449062347	False	[128, 64]	64	0.05	0.3	0.3	0.5	0.0005	300
82	0.7984271306407621	1.0889496207237244	False	[128, 64]	64	0.01	0.3	0.1	2.0	0.0005	300
83	0.6352404966636179	0.9090677201747894	False	[128, 64]	64	0.0	0.2	0.1	2.0	0.0001	200
84	0.7792510368935379	1.2972833216190338	False	[128]	64	0.01	0.4	0.3	0.5	0.001	300
85	0.8410569667730042	0.8849991410970688	False	[128]	32	0.01	0.4	0.2	0.5	0.0005	300
86	0.7800720813543229	1.060901239514351	False	[128, 64]	32	0.05	0.4	0.1	2.0	0.0005	300
87	0.7228218739320142	0.9127810001373291	False	[128]	64	0.05	0.4	0.3	2.0	0.0001	200
88	0.7801495009202253	0.736333005130291	True	[128, 64]	64	0.0	0.2	0.2	1.0	0.0001	200
89	0.8151612577307521	0.9642893970012665	False	[64]	64	0.0	0.3	0.2	1.0	0.001	300
90	0.8027673087479787	0.7957797423005104	False	[128, 64]	64	0.05	0.4	0.2	1.0	0.0001	300
91	0.8410398759362415	0.7816694229841232	False	[64]	64	0.05	0.2	0.3	0.5	0.001	200
92	0.7727159039476601	0.9613941162824631	False	[128]	64	0.05	0.3	0.3	2.0	0.0001	300
93	0.7730809092941862	1.0125011056661606	False	[128, 64]	32	0.05	0.4	0.3	2.0	0.0005	200
94	0.7909769545399186	0.8422626852989197	False	[128, 64]	32	0.01	0.2	0.1	0.5	0.001	200
95	0.7744281190110466	0.7182236835360527	True	[64]	64	0.01	0.3	0.3	1.0	0.0001	300
96	0.778664693292407	0.9872578680515289	False	[64]	64	0.05	0.4	0.2	2.0	0.0005	200
97	0.7637711997596103	1.0262500643730164	False	[64]	32	0.01	0.4	0.1	2.0	0.001	300
98	0.8066203721489327	0.7229116186499596	True	[128]	32	0.0	0.4	0.3	1.0	0.0001	200
99	0.860156711609896	0.6096466481685638	True	[128]	64	0.0	0.4	0.2	0.5	0.0001	200
100	0.7956730405455067	0.7430370151996613	True	[128, 64]	64	0.01	0.2	0.3	1.0	0.0001	200
101	0.7756499545799926	0.9780732244253159	False	[64]	32	0.01	0.4	0.3	2.0	0.0005	200
102	0.8259090324188888	1.290606051683426	False	[128]	64	0.0	0.4	0.3	0.5	0.001	300
103	0.7819765733037584	0.7135033458471298	True	[64]	32	0.01	0.4	0.1	1.0	0.0001	300
104	0.8532606356721149	0.6049330681562424	True	[128]	32	0.05	0.4	0.3	0.5	0.0001	200
105	0.8408367267242502	0.6478785276412964	True	[128]	32	0.05	0.4	0.3	0.5	0.0001	300
106	0.7885935765325756	0.5940564349293709	True	[64]	64	0.05	0.2	0.1	0.5	0.0001	200
107	0.8456320624629609	0.6583707630634308	True	[128, 64]	64	0.05	0.4	0.3	0.5	0.0001	300
108	0.6277106689793067	0.9010480344295502	False	[64]	32	0.05	0.4	0.3	2.0	0.0001	300
109	0.8340106223332258	0.7736338078975677	False	[128, 64]	64	0.05	0.4	0.2	0.5	0.0005	200
110	0.7712565210479914	1.0339676141738892	False	[64]	32	0.05	0.3	0.2	2.0	0.0005	300
111	0.6881898051660627	0.8692609816789627	False	[64]	64	0.01	0.2	0.3	2.0	0.0001	200
