dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	0.7884525001049042	0.012712619451225886	1.5076645493507386	0.02533657198867813	0.1416941687464714	0.0032587525487614705	0.0	0.0	9.610210647297208	2.6870098664437414	10	1066000	544846	134412	386742	
dataset_3_types_unequal	0.6690183043479919	0.006311806954504982	1.307757592201233	0.01313554984690182	0.1579361528158188	0.00273695857110505	0.0	0.0	8.78782110720058	0.03829862522408678	10	1065000	528580	134548	401872	
dataset_4_types_rare	0.6815479516983032	0.004284278468746694	1.3065992712974548	0.008912479638200183	0.18175792545080185	0.0039133031998842055	0.0	0.0	8.786082252196502	0.084578676824955	10	1073000	539831	142817	390352	
dataset_multibatch_dropout	0.6625221788883209	0.004443990013786376	1.3419262766838074	0.009609787953270553	0.14294102787971497	0.0017025009494559486	0.0	0.0	8.82351137670048	0.2392947524326154	10	1072000	514202	141335	416463	
