dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
batch_effects_moderate_drop	raw	42	142.17905252589844	0.6595989990079593	0.7220440679465671	0.005999189999803254	0.645311995611567	1.7880748024267936	0.2476595446240982	0.48762378162998476	0.4281589797235622	0.5800980790372627	0.427256716083556	0.5784669251393032	8.0
batch_effects_moderate_drop_group	raw	42	145.25124071002938	0.6353542507984382	0.727666865656784	0.005280627155253716	0.6242052970200703	1.7818918884193182	0.32649827860385267	0.5418916441338926	0.5124370123104682	0.6447828923566161	0.5117748880992599	0.6438530027308602	6.0
groups_balanced_moderate_drop	raw	42	146.9223271429073	0.643803301050584	0.6883929995199927	0.004586416223982725	0.6442273733933793	1.8369984355898126	0.5982069182906721	0.7059172794771826	0.9386667319677571	0.8973173582038958	0.9386667319677571	0.8973173582038958	3.0
groups_balanced_moderate_drop_group	raw	42	147.4333238818217	0.6145195935421447	0.6708810617292126	0.0048311185771169746	0.6168296073823007	1.8266667711375473	0.547486178767264	0.6766717006119082	0.9331791418454534	0.8923977203184117	0.9320290252861749	0.8908592558240972	3.0
groups_balanced_nodrop	raw	42	144.2129386300221	0.14744996201390861	nan	0.07949455524076407	0.2931546648009879	0.9812542859102148	0.7283955827946172	0.8412680192199772	0.999399658439669	0.998467289639874	0.999399658439669	0.998467289639874	3.0
groups_imbalanced_moderate_drop	raw	42	145.4511690021027	0.6327986013715624	0.683626575346204	0.004798872664703735	0.6401964659451821	1.8560119270899262	0.392483093351052	0.5588422339045149	0.9153280709688807	0.8338614835395646	0.9153280709688807	0.8338614835395646	3.0
groups_imbalanced_moderate_drop_group	raw	42	146.19199218298309	0.5404342160326744	0.6008455814076021	0.005267462887914375	0.5774756431814286	1.743511145735661	0.3737275269046017	0.5821020557410735	0.6091081916500127	0.7200209081789194	0.6091081916500127	0.7200209081789194	4.0
groups_rare_high_drop	raw	42	146.58619609312154	1.3648160362078836	1.4413731709907542	0.0014359551172565778	0.9754556721061474	2.6118036692041695	0.24285741735512312	0.2978892627021765	0.48804518958152643	0.38604561452559716	0.336931656813096	0.33470608380265593	4.0
groups_rare_high_drop_group	raw	42	144.16047029802576	1.15494856388325	1.2578716221511177	0.0011294855627886195	0.8790023016460667	2.397083739394061	0.4147585594412314	0.5924464647880785	0.629255168484615	0.7064220365270675	0.6031644617421373	0.7003211751500459	4.0
paths_branching_moderate_drop	raw	42	145.56299480702728	0.6142958156646062	0.6603801017455052	0.005814567525308424	0.627018606382393	1.778173688390284	0.3508897397468005	0.4495686659035798	0.5094361077133275	0.52963069891277	0.4513196433667619	0.4765434108434574	4.0
paths_branching_moderate_drop_group	raw	42	144.61540814093314	0.6352049501638286	0.7088647452815349	0.00452304756870087	0.6326188083827567	1.834486053694209	0.4431390870618001	0.5604411435621172	0.6880555743350351	0.6727640505386079	0.6880555743350351	0.6727640505386079	4.0
paths_linear_moderate_drop	raw	42	144.40260648611002	0.6277819452822919	0.6789915992074905	0.004423736392488947	0.6287551071444494	1.7696664075993023	0.3380804982127382	0.4735275109935333	0.4671727447097695	0.5620145679194442	0.4231938378996659	0.49242340294383163	4.0
paths_linear_moderate_drop_group	raw	42	145.49359540594742	0.6002788162645352	0.6582904886653039	0.004656049398388761	0.6041363459686353	1.739548440218394	0.3398501969656248	0.49652318774306653	0.5875828541424596	0.6257900075769457	0.47667550599357245	0.5478642222252723	5.0
