config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	avg_rmse	avg_bz_rmse	score
1	0.0	0.7	0.8	0.7670084834098816	0.04230742109939456	0.42581166280433536
7	0.0	1.3	0.8	0.777714803814888	0.03696519182994962	0.4258225937373936
4	0.0	1.0	0.8	0.7729532867670059	0.03948329761624336	0.4259599409997463
8	0.0	1.3	1.0	0.7715877592563629	0.04593775514513254	0.431731634773314
2	0.0	0.7	1.0	0.7588191032409668	0.05254540964961052	0.4319549612700939
5	0.0	1.0	1.0	0.7658651173114777	0.04905452625826001	0.43198708491399884
3	0.0	0.7	1.2	0.7516333013772964	0.06000024080276489	0.4358168914914131
6	0.0	1.0	1.2	0.759343832731247	0.05706574581563473	0.4367376621812582
9	0.0	1.3	1.2	0.765817791223526	0.05398543365299702	0.43689432926476
16	0.5	1.3	0.8	0.7554330378770828	0.09988708794116974	0.47760360687971115
13	0.5	1.0	0.8	0.7489306181669235	0.10394353792071342	0.4784088470041752
10	0.5	0.7	0.8	0.7411672919988632	0.10838965140283108	0.4789732974022627
17	0.5	1.3	1.0	0.7470928579568863	0.11220814846456051	0.48575457744300365
14	0.5	1.0	1.0	0.7397111058235168	0.11691039428114891	0.48676594719290733
11	0.5	0.7	1.0	0.7311007380485535	0.12203730270266533	0.48758767172694206
18	0.5	1.3	1.2	0.7398723065853119	0.12266303971409798	0.4925991930067539
15	0.5	1.0	1.2	0.7319024354219437	0.12772291526198387	0.4936741329729557
12	0.5	0.7	1.2	0.7229868471622467	0.1325487084686756	0.49404213204979897
25	1.0	1.3	0.8	0.7421862930059433	0.12647688761353493	0.4975700341165066
22	1.0	1.0	0.8	0.7349426001310349	0.1316088605672121	0.49908016063272953
19	1.0	0.7	0.8	0.7266378998756409	0.13725565001368523	0.5005745999515057
26	1.0	1.3	1.0	0.7338141798973083	0.13991736248135567	0.5068244524300098
23	1.0	1.0	1.0	0.7261541336774826	0.14587878435850143	0.5089558511972427
20	1.0	0.7	1.0	0.7177528142929077	0.15257509611546993	0.5114515032619238
27	1.0	1.3	1.2	0.7272775173187256	0.15211531333625317	0.515754071995616
24	1.0	1.0	1.2	0.719679668545723	0.159061960875988	0.5189017951488495
21	1.0	0.7	1.2	0.7119174301624298	0.16587015986442566	0.5218288749456406
