config_id	objective	avg_mse_biozero	avg_mse	thr_drop	disp_mode	disp_const	use_cell_factor	tau_dispersion	tau_group_dispersion	tau_dropout	p_zero	p_nz	noise_min	noise_max	hidden	bottleneck	dropout	use_residual	epochs	batch_size	lr	weight_decay	loss_bio_weight	loss_nz_weight	bio_reg_weight	recon_weight	p_low	p_high	post_threshold	post_threshold_scale	post_threshold_gamma	post_gene_quantile	post_gene_scale	post_gene_gamma	post_gene_ref	keep_positive	hard_zero_bio	oracle_bio	blend_alpha	blend_gamma	p_bio_temp	p_bio_bias	post_bio_temp	post_bio_bias	ae_bio_weight	ae_bio_cap_weight	ae_bio_temp	ae_bio_quantile	ae_bio_union	gene_boost	gene_boost_gamma	gene_nz_boost	gene_nz_boost_gamma	gene_nz_mix	gene_nz_mix_gamma	gene_rare_threshold	gene_rare_pbio	cell_zero_weight	cell_depth_boost	cell_depth_gamma	cluster_weight	cluster_gamma	cluster_k	cluster_pcs	shrink_alpha	shrink_gamma	expr_bio_weight	expr_bio_temp	expr_bio_bias	expr_bio_quantile	expr_bio_scale	expr_bio_union	expr_bio_expected	expr_bio_mix	knn_bio_weight	knn_bio_temp	knn_bio_quantile	knn_k	knn_bio_union	clip_negative
11	1.057236767373979	0.07017733808606863	1.974118858575821	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	1.0	0.2	2.0	99.5	0.0	0.0	2.0	0.2	0.5	4.0	obs	True	False	False	0.3	2.0	1.0	0.5	1.0	0.0	0.3	0.5	0.3	0.4	True	0.0	1.0	0.2	2.0	0.3	4.0	0.05	0.7	0.3	0.0	1.0	0.3	1.0	2	10	0.0	2.0	0.3	0.3	0.5	-1.0	0.5	False	counts	0.5	0.0	0.2	0.2	10	True	False
12	2.955564260482788	0.0	5.911128520965576	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.1	0.5	4.0	0.2	0.5	2.0	obs	True	True	False	0.0	2.0	1.0	0.0	1.0	0.5	0.3	1.0	0.3	0.4	False	0.0	1.0	0.2	4.0	0.3	2.0	-1.0	0.9	0.3	0.0	1.0	0.0	2.0	2	10	0.5	2.0	0.6	0.6	0.5	0.2	0.5	True	log	0.5	0.3	0.4	0.2	10	True	False
13	1.0016354275867343	0.02956023346632719	1.9441503882408142	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	4.0	0.2	0.5	2.0	obs	True	False	False	0.0	2.0	1.5	0.0	1.0	0.0	0.0	0.5	0.3	0.4	False	0.3	1.0	0.0	2.0	0.3	2.0	0.1	0.7	0.3	0.0	1.0	0.0	2.0	2	10	0.0	2.0	0.6	0.6	0.5	0.2	1.0	False	counts	0.5	0.0	0.2	0.2	10	True	False
14	2.1942759289813694	0.005363120086258277	4.377825617790222	0.85	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.1	0.0	2.0	0.1	0.5	4.0	obs	True	True	False	0.0	2.0	1.5	0.5	1.2	0.5	0.0	1.0	0.6	0.6	False	0.3	2.0	0.2	2.0	0.3	4.0	0.1	0.7	0.6	0.3	1.0	0.0	2.0	2	10	0.0	4.0	0.3	0.6	0.5	0.2	1.0	True	log	0.5	0.0	0.4	0.2	5	False	False
15	1.5346297645010054	0.010150658432394266	3.0489582121372223	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.2	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.1	0.0	2.0	0.2	0.5	4.0	obs	True	False	False	0.3	2.0	1.5	0.5	1.0	0.0	0.3	0.0	0.6	0.6	False	0.3	1.0	0.2	2.0	0.0	4.0	0.1	0.7	0.6	0.3	1.0	0.0	2.0	2	10	0.5	2.0	0.6	0.6	0.5	0.2	1.0	False	counts	0.5	0.0	0.4	-1.0	5	False	False
16	0.6369861476123333	0.16209407523274422	0.9497841447591782	0.9	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	1.0	0.2	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.3	1.0	1.5	0.5	1.0	0.0	0.3	0.5	0.6	0.4	True	0.3	2.0	0.0	2.0	0.0	4.0	0.1	0.9	0.3	0.0	1.0	0.0	2.0	2	10	0.0	4.0	0.3	0.3	0.0	-1.0	1.0	True	log	0.5	0.0	0.4	-1.0	5	False	False
17	1.360125689767301	0.02005889918655157	2.680133581161499	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.2	2.0	99.5	0.0	0.0	4.0	0.1	0.5	4.0	obs	True	False	False	0.0	2.0	1.5	0.0	1.0	0.5	0.6	0.0	0.6	0.4	True	0.3	1.0	0.2	4.0	0.3	2.0	-1.0	0.7	0.3	0.0	1.0	0.3	2.0	2	10	0.5	2.0	0.0	0.6	0.0	0.2	1.0	False	log	0.5	0.0	0.2	-1.0	10	True	False
18	2.7370785772800446	0.0	5.474157154560089	0.9	estimate	0.05	True	20.0	20.0	50.0	0.05	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.0	0.5	4.0	0.2	0.5	4.0	obs	True	True	False	0.3	2.0	1.5	0.5	1.2	0.0	0.0	0.5	0.3	0.4	False	0.3	2.0	0.2	4.0	0.3	4.0	-1.0	0.9	0.3	0.0	1.0	0.3	2.0	2	10	0.0	2.0	0.0	0.3	0.0	0.2	1.0	True	counts	0.5	0.3	0.4	-1.0	5	True	False
19	2.9123602211475372	0.0	5.8247204422950745	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.2	0.0	0.25	128,64	64	0.05	False	100	32	0.0005	0.0	2.0	1.0	2.0	0.1	2.0	99.5	0.0	0.0	2.0	0.2	0.5	2.0	obs	True	True	False	0.3	2.0	1.0	0.5	1.2	0.0	0.3	1.0	0.6	0.4	False	0.0	2.0	0.2	2.0	0.0	4.0	0.05	0.9	0.3	0.3	1.0	0.0	2.0	2	10	0.0	2.0	0.3	0.6	0.5	-1.0	1.0	False	log	0.5	0.0	0.4	-1.0	10	False	False
20	1.3454418228939176	0.034177337773144245	2.6225289702415466	0.85	estimate	0.05	True	20.0	20.0	50.0	0.0	0.3	0.0	0.5	128,64	64	0.05	False	100	32	0.0005	0.0	4.0	1.0	2.0	0.1	2.0	99.5	0.1	0.5	2.0	0.1	0.5	2.0	obs	True	False	False	0.0	2.0	1.5	0.5	1.0	0.5	0.0	0.0	0.3	0.4	False	0.0	1.0	0.0	4.0	0.0	4.0	0.05	0.9	0.6	0.3	1.0	0.3	2.0	2	10	0.5	2.0	0.0	0.6	0.0	0.2	0.5	False	counts	0.5	0.3	0.4	-1.0	10	True	False
