dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.6694639325141907	1.044185757637024	0.05336488410830498	0.15109336376190186	92300	36914	7279	48107
dataset_3_types_unequal	0.6206029653549194	1.0167624950408936	0.0518343523144722	0.1474866420030594	92600	33394	7662	51544
dataset_4_types_rare	1.0142912864685059	1.3721836805343628	0.04051031544804573	0.17551258206367493	93200	50349	8182	34669
dataset_multibatch_dropout	0.7620903849601746	1.069238543510437	0.02684795670211315	0.15438269078731537	291600	145828	36313	109459
AVG	0.7666121423244476		0.043139377143234015					
