config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	avg_rmse	avg_bz_rmse	score
1	0.0	0.5	0.6	0.7689901888370514	0.03731825668364763	0.42181335110217333
21	0.0	1.6	0.6	0.7851144373416901	0.02932262234389782	0.42187984101474285
6	0.0	0.7	0.6	0.7729860693216324	0.03560845134779811	0.4221014860086143
16	0.0	1.3	0.6	0.7819204777479172	0.031198575161397457	0.42215881403535604
11	0.0	1.0	0.6	0.7779534012079239	0.033283024094998837	0.4222597246989608
22	0.0	1.6	0.8	0.7790525704622269	0.038891180884093046	0.4284174661152065
2	0.0	0.5	0.8	0.7586299628019333	0.04942999919876456	0.4287449805997312
17	0.0	1.3	0.8	0.7749304622411728	0.04135887511074543	0.4288241062313318
7	0.0	0.7	0.8	0.7635808885097504	0.04717559227719903	0.4289660365320742
12	0.0	1.0	0.8	0.7698529064655304	0.04410295933485031	0.4290294125676155
23	0.0	1.6	1.0	0.7732167840003967	0.048231557942926884	0.43483994994312525
18	0.0	1.3	1.0	0.7682381272315979	0.05127937160432339	0.43539843522012234
13	0.0	1.0	1.0	0.7621628642082214	0.05467013316228986	0.4357515652664006
3	0.0	0.5	1.0	0.7490774840116501	0.06124864611774683	0.4357873881235719
8	0.0	0.7	1.0	0.7547772973775864	0.05846012197434902	0.4358487706631422
5	0.0	0.5	1.4	0.7373298108577728	0.0692012570798397	0.4378661625087261
4	0.0	0.5	1.2	0.7413520961999893	0.06827834527939558	0.43895439337939024
10	0.0	0.7	1.4	0.7420239299535751	0.06867074873298407	0.43968271370977163
9	0.0	0.7	1.2	0.7471133917570114	0.06662581488490105	0.44018251076340675
24	0.0	1.6	1.2	0.7676899880170822	0.05674906633794308	0.4405940603464842
14	0.0	1.0	1.2	0.7551419287919998	0.06341554969549179	0.4409865140914917
19	0.0	1.3	1.2	0.7619862407445908	0.06002222839742899	0.44101534876972437
15	0.0	1.0	1.4	0.7496484518051147	0.06706968508660793	0.4418939109891653
20	0.0	1.3	1.4	0.7567180544137955	0.06483475584536791	0.44319378305226564
25	0.0	1.6	1.4	0.7628501951694489	0.062214531004428864	0.4436396285891533
46	0.25	1.6	0.6	0.777887761592865	0.05888084089383483	0.4478247216902673
41	0.25	1.3	0.6	0.7734908163547516	0.06264807656407356	0.44939348474144936
36	0.25	1.0	0.6	0.7681179642677307	0.06675135623663664	0.450810338370502
31	0.25	0.7	0.6	0.7614924013614655	0.07126623298972845	0.4520124336704612
26	0.25	0.5	0.6	0.7562477886676788	0.07455836422741413	0.45268225856125355
47	0.25	1.6	0.8	0.770429328083992	0.07154801953583956	0.45676268357783556
42	0.25	1.3	0.8	0.764933168888092	0.07609742693603039	0.4585640113800764
