config_id	p_bio_temp	p_bio_bias	proxy_drop_weight	avg_mse	avg_bz_mse	score
1	1.2	0.5	0.0	1.1014122813940048	0.0448846323415637	0.5955907730385661
2	1.2	0.5	0.3	0.9634630233049393	0.06900133565068245	0.5507328473031521
3	1.2	0.5	0.5	0.8731208443641663	0.09578198194503784	0.532342404127121
4	1.2	0.5	0.7	0.7872727066278458	0.14554715622216463	0.5391835095360875
5	1.5	0.5	0.0	0.7945743054151535	0.11021170765161514	0.5074988603591919
6	1.5	0.5	0.3	0.7419909238815308	0.13615340180695057	0.507148863747716
7	1.5	0.5	0.5	0.7069389224052429	0.1616809144616127	0.5151503756642342
8	1.5	0.5	0.7	0.6805938631296158	0.19035227969288826	0.5306492112576962
9	1.8	0.5	0.0	0.653015598654747	0.18661243468523026	0.5131202340126038
10	1.8	0.5	0.3	0.6302413120865822	0.20635900646448135	0.5214796625077724
11	1.8	0.5	0.5	0.6183220744132996	0.2201290726661682	0.529290109872818
12	1.8	0.5	0.7	0.6097567677497864	0.23602303490042686	0.54090141877532
13	2.0	0.5	0.0	0.5964033678174019	0.23925693705677986	0.5374586209654808
14	2.0	0.5	0.3	0.5850138068199158	0.2523096427321434	0.5448165461421013
15	2.0	0.5	0.5	0.5785305798053741	0.2631177455186844	0.5523830354213715
16	2.0	0.5	0.7	0.5744047835469246	0.27355506271123886	0.5607574544847012
