dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	5.21076277908906	0.000349472447326582	10.4116579962518	0.000704257773438048	0.00639322135654612	1.48743442269163e-05	0.00410955297823953	8.08765959701121e-06	645.007	56.2578811367794	4	16395000	8201495	2462320	5731185	NA
dataset_3_types_unequal	4.89758035279726	0.00100218309091516	10.1291866025517	0.00207719613619063	0.00929409756080398	1.9965835992387e-05	0.00487760329616667	4.82692053141397e-06	520.67325	31.3618346867126	4	16410000	7929271	2459502	6021227	NA
dataset_4_types_rare	5.50887769097665	0.000363623714389747	11.0177451972078	0.000732605045316413	0.00995771417946286	1.33768763061631e-05	0.00534318309630442	8.10460320260932e-06	593.95975	51.2464729607478	4	16425000	8207482	2484106	5733412	NA
dataset_multibatch_dropout	4.85294646723462	0.000639335611606881	10.1225313625228	0.00133197280301043	0.0103592079676948	1.77349114172447e-05	0.00547757214079407	5.68495520221445e-06	479.86	15.2002965760545	4	16410000	7861476	2455940	6092584	NA
