dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.6696287393569946	1.0444550514221191	0.05286172404885292	0.15109336376190186	92300	36914	7279	48107
dataset_3_types_unequal	0.621001124382019	1.0174607038497925	0.049721281975507736	0.1474866420030594	92600	33394	7662	51544
dataset_4_types_rare	1.014205813407898	1.3720653057098389	0.0408262275159359	0.17551258206367493	93200	50349	8182	34669
dataset_multibatch_dropout	0.7631982564926147	1.0708236694335938	0.025820450857281685	0.15438269078731537	291600	145828	36313	109459
AVG	0.7670084834098816		0.04230742109939456					
