dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.8798666666666666	0.004743767841424468	1.0	0.0	1.0	0.0	1.0	0.0	6.562780698140462	8.36283996196963	3	30	935	cell_type1	
darmanis_top1000markers	0.6964666666666667	0.005394750534856368	0.9293333333333335	0.00385529938310029	0.9015666666666666	0.006254864773385064	0.9539666666666666	0.003622614157391502	4.347837924957275	0.19852782200634017	3	420	1000	cell_type1	
deng_top1000markers	0.6588333333333334	0.028346487142736666	0.5568666666666666	0.012938830446888658	0.7832333333333333	0.002569695182961078	0.8507000000000001	1.3597399555105182e-16	3.9072581132253013	0.05506828916907364	3	268	1000	cell_type1	
pollen_top1000markers	0.8597666666666667	0.005227172594561361	0.9384	0.028875075757476373	0.9389333333333333	0.01111950238694756	0.9465	0.020336174664867507	3.911609331766764	0.027747749346172988	3	299	1000	cell_type1	
usoskin_top1000markers	0.5100666666666667	0.007488880646220299	0.9433666666666668	0.013514560049566275	0.9077333333333334	0.021682788873512895	0.9689333333333333	0.006717390366305452	6.005494276682536	0.10918047513596914	3	622	1000	cell_type1	
