dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	2.2691343586305686	2.585458119731123	0.1382551925595891	2.1787222093691194	92300	36914	7279	48107
dataset_3_types_unequal	2.22737097239843	2.505724596479137	0.149486261524693	2.2004047174758723	92600	33394	7662	51544
dataset_4_types_rare	2.3775391622630684	2.7352477004749955	0.10471309234164704	2.080410376685101	93200	50349	8182	34669
dataset_multibatch_dropout	2.313388815418056	2.731245560184886	0.07800232075214619	2.077709653671776	291600	145828	36313	109459
AVG	2.2968583271775307		0.11761421679451883					
