dataset	config	transform	seed	cluster_seeds	runtime_sec	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	n_clusters_grid_mean	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
Zeisel	default	raw	42	42	81.68269287096336	0.36966346894689195	0.6210208400260808	0.7017246316904054	0.7162957007562942	27.822222222222223	0.6903038713808275	0.6973017027482954	9.0
Zeisel	default	all_obs0.1	42	42	81.68269287096336	0.3680296215863044	0.6207552552490854	0.7085888615292839	0.7216920009008534	27.57777777777778	0.6920463197458318	0.7014543670423624	10.0
Zeisel	default	all_obs0.25	42	42	81.68269287096336	0.3662274019787895	0.6206924899169831	0.6986098405264068	0.7075441667638533	27.533333333333335	0.6982832719494201	0.7072021824554877	9.0
Zeisel	default	row_center	42	42	81.68269287096336	0.3750179235246846	0.6236328934080732	0.7065043054531291	0.7174682059606626	28.42222222222222	0.6945697650953297	0.7102391408358083	10.0
