dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.6230936050415039	0.9667562246322632	0.18019866943359375	0.15109336376190186	92300	36914	7279	48107
dataset_3_types_unequal	0.5825629234313965	0.9485307335853577	0.18435807526111603	0.1474866420030594	92600	33394	7662	51544
dataset_4_types_rare	0.9210387468338013	1.240905523300171	0.23839505016803741	0.17551258206367493	93200	50349	8182	34669
dataset_multibatch_dropout	0.6855313181877136	0.9563369154930115	0.1707002818584442	0.15438269078731537	291600	145828	36313	109459
AVG	0.7030566483736038		0.19341301918029785					
