dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.9527	0.004618441295502196	1.0	0.0	1.0	0.0	1.0	0.0	5.217510302861531	5.974597659510968	3	30	935	cell_type1	
darmanis_top1000markers	0.7650333333333333	0.004129568177586317	0.9273333333333333	0.0017502380790433729	0.8997333333333334	0.0035557465226494027	0.9523999999999999	0.0024000000000000132	4.005362908045451	0.032781877252631986	3	420	1000	cell_type1	
deng_top1000markers	0.7182	0.038201177992307996	0.6596000000000001	0.18682192055537805	0.8109999999999999	0.049799497989437634	0.8631666666666667	0.021592900067691996	3.7738037109375	0.037786600750354116	3	268	1000	cell_type1	
pollen_top1000markers	0.9207666666666666	0.0040278199231511685	0.953	0.004026164427839484	0.9417	0.0044542114902640356	0.9554	0.005139066063011842	3.969496806462606	0.1573394912685911	3	299	1000	cell_type1	
usoskin_top1000markers	0.5679333333333334	0.007902742140126614	0.9527	0.006502307282803549	0.9234333333333332	0.008879376855012564	0.9742999999999999	0.003200000000000036	5.939128239949544	0.030339529256723407	3	622	1000	cell_type1	
