metric	value
config	"{""bio_reg_weight"": 1.3, ""epochs"": 400, ""loss_bio_weight"": 1.0, ""loss_nz_weight"": 2.0, ""lr"": 0.0001, ""name"": ""t_br1p3_lossbio1"", ""noise_max"": 0.02, ""observed_recon_weight"": 0.75, ""p_nz"": 0.05, ""p_zero"": 0.01, ""zero_shrink_strength"": 0.3}"
corr_err	0.20899948608531885
corr_err_dataset_std	0.031029085389850025
device	cuda
gnrmse	1.1807875827104444
gnrmse_dataset_std	0.10327595755254472
gnrmse_marker	1.1294193778838666
gnrmse_marker_dataset_std	0.10193438125677391
input_dir	synthetic_datasets/simulated_data/tune
mae	0.36296369641299964
mae_biozero	0.041153891575776654
mae_biozero_dataset_std	0.01254090302113292
mae_dataset_std	0.03623608030195879
mae_dropout	0.4469779937963698
mae_dropout_dataset_std	0.028688014066298735
mae_marker	0.3644743903921197
mae_marker_dataset_std	0.03767100396180803
mae_non_zero	0.3610013693579802
mae_non_zero_dataset_std	0.02737264618936182
mse	0.23789898582733146
mse_biozero	0.01449709655043735
mse_biozero_dataset_std	0.005534041613158658
mse_dataset_std	0.04477252661805438
mse_dropout	0.31703716678319405
mse_dropout_dataset_std	0.041088099135725586
mse_marker	0.23953872722501224
mse_marker_dataset_std	0.04723586978247458
mse_non_zero	0.21455054609550606
mse_non_zero_dataset_std	0.028224327587546404
n_datasets	13
n_repeats	1
runtime_sec	22.361326381232804
runtime_sec_dataset_std	0.5459595444557114
score_mse_plus_2biozero	0.2668931789282062
score_mse_plus_biozero	0.2523960823777688
