seed	n_pcs	n_neighbors	resolution	n_clusters	ari	nmi	batch_ari	batch_nmi	batch_silhouette	cluster_runtime_sec	dataset	transform	cluster_seed
42	20	10	0.2	7	0.4760013951260664	0.6196978749536411				0.21152356499806046	batch_effects_moderate_drop	raw	42
42	20	10	0.5	11	0.37172805548943855	0.5452437161317623				0.18333713011816144	batch_effects_moderate_drop	raw	42
42	20	10	1.0	16	0.2447178141792975	0.49529926949792213				0.17836977308616042	batch_effects_moderate_drop	raw	42
42	20	15	0.2	7	0.4810561084640067	0.6275619107389767				0.2391748558729887	batch_effects_moderate_drop	raw	42
42	20	15	0.5	9	0.4429168586443662	0.6023451087646718				0.23367914906702936	batch_effects_moderate_drop	raw	42
42	20	15	1.0	15	0.28163883674047924	0.5163150940400945				0.3079780510161072	batch_effects_moderate_drop	raw	42
42	20	30	0.2	7	0.48350133599603873	0.6324100377528371				0.3726019498426467	batch_effects_moderate_drop	raw	42
42	20	30	0.5	7	0.4833791561717568	0.6311471135833955				0.340703465975821	batch_effects_moderate_drop	raw	42
42	20	30	1.0	14	0.3023779855820519	0.529402241827206				0.3337446190416813	batch_effects_moderate_drop	raw	42
42	50	10	0.2	7	0.4824877251917253	0.6271192082658609				0.20547342486679554	batch_effects_moderate_drop	raw	42
42	50	10	0.5	11	0.3809114036492497	0.5540263487291445				0.1860524641815573	batch_effects_moderate_drop	raw	42
42	50	10	1.0	17	0.23447975019618567	0.48953237570652497				0.1854777589906007	batch_effects_moderate_drop	raw	42
42	50	15	0.2	7	0.5020784535813438	0.6478676788762169				0.23975121299736202	batch_effects_moderate_drop	raw	42
42	50	15	0.5	9	0.4443641090299935	0.6041724992509253				0.23456914513371885	batch_effects_moderate_drop	raw	42
42	50	15	1.0	14	0.28846160272881616	0.5265951943832592				0.25138929206877947	batch_effects_moderate_drop	raw	42
42	50	30	0.2	7	0.48647574525268666	0.6371138029193881				0.3350176210515201	batch_effects_moderate_drop	raw	42
42	50	30	0.5	7	0.4854796394545136	0.6362046098986334				0.3896821460220963	batch_effects_moderate_drop	raw	42
42	50	30	1.0	14	0.2765781084864306	0.5137691213096426				0.34233427490107715	batch_effects_moderate_drop	raw	42
42	20	10	0.2	7	0.5051132329102587	0.6437731617119251				0.2529000809881836	batch_effects_moderate_drop_group	raw	42
42	20	10	0.5	13	0.36800350871767823	0.5647071116663454				0.27296633599326015	batch_effects_moderate_drop_group	raw	42
42	20	10	1.0	17	0.2623903383875445	0.5146519211135142				0.20675943396054208	batch_effects_moderate_drop_group	raw	42
42	20	15	0.2	6	0.51729182707445	0.6532586907397425				0.3069408710580319	batch_effects_moderate_drop_group	raw	42
42	20	15	0.5	12	0.4173968957331958	0.5900738279426809				0.23427758691832423	batch_effects_moderate_drop_group	raw	42
42	20	15	1.0	15	0.26510383859223924	0.5196079094333239				0.23407849902287126	batch_effects_moderate_drop_group	raw	42
42	20	30	0.2	6	0.5176499969140615	0.653189234968421				0.34633154002949595	batch_effects_moderate_drop_group	raw	42
42	20	30	0.5	9	0.4406238859746182	0.6086558589380916				0.3565106480382383	batch_effects_moderate_drop_group	raw	42
42	20	30	1.0	15	0.2759285021689078	0.5250593676844099				0.37426690105348825	batch_effects_moderate_drop_group	raw	42
42	50	10	0.2	8	0.5041841990708597	0.647491966529548				0.24096503597684205	batch_effects_moderate_drop_group	raw	42
42	50	10	0.5	12	0.40939143302270226	0.5871540836542991				0.19715737085789442	batch_effects_moderate_drop_group	raw	42
42	50	10	1.0	18	0.2511018848150909	0.509505361628884				0.18204783601686358	batch_effects_moderate_drop_group	raw	42
42	50	15	0.2	6	0.5183176472882247	0.6547993464322127				0.30963047104887664	batch_effects_moderate_drop_group	raw	42
42	50	15	0.5	10	0.4479322740708941	0.6135732444228867				0.2675332559738308	batch_effects_moderate_drop_group	raw	42
42	50	15	1.0	16	0.2619595696659649	0.5223008029787394				0.23050739709287882	batch_effects_moderate_drop_group	raw	42
42	50	30	0.2	6	0.5169387153568812	0.6518289584673559				0.357185211032629	batch_effects_moderate_drop_group	raw	42
42	50	30	0.5	9	0.4287247924837408	0.6051397747453343				0.35681272693909705	batch_effects_moderate_drop_group	raw	42
42	50	30	1.0	15	0.29155876706679745	0.531785586577754				0.3915177769958973	batch_effects_moderate_drop_group	raw	42
42	20	10	0.2	3	0.9749842480830319	0.9531687369469325				0.22340161306783557	groups_balanced_moderate_drop	raw	42
42	20	10	0.5	6	0.6698042943614351	0.7618985408330177				0.22247597109526396	groups_balanced_moderate_drop	raw	42
42	20	10	1.0	11	0.37351898260957245	0.616891369707663				0.2080670220311731	groups_balanced_moderate_drop	raw	42
42	20	15	0.2	3	0.977369328213255	0.9572317850195753				0.3190617859363556	groups_balanced_moderate_drop	raw	42
42	20	15	0.5	5	0.7725547635904583	0.8136883911040329				0.30063891084864736	groups_balanced_moderate_drop	raw	42
42	20	15	1.0	9	0.4500523373373043	0.6535153393142944				0.28811763785779476	groups_balanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9826968032684352	0.9659690031122405				0.4338898789137602	groups_balanced_moderate_drop	raw	42
42	20	30	0.5	3	0.9826968032684352	0.9659690031122405				0.43888691696338356	groups_balanced_moderate_drop	raw	42
42	20	30	1.0	7	0.5646493997248949	0.7177962915954225				0.530215185135603	groups_balanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9743868133649817	0.9517288039334276				0.21581334504298866	groups_balanced_moderate_drop	raw	42
42	50	10	0.5	6	0.6813247059820235	0.7613736192575269				0.22348692687228322	groups_balanced_moderate_drop	raw	42
42	50	10	1.0	10	0.37455690144143927	0.6201897455478684				0.25279172812588513	groups_balanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9779715344887479	0.957445685465813				0.3464260930195451	groups_balanced_moderate_drop	raw	42
42	50	15	0.5	5	0.8206291165803724	0.8340723703228455				0.30904371198266745	groups_balanced_moderate_drop	raw	42
42	50	15	1.0	10	0.3884140743638637	0.6269080671711917				0.3444393668323755	groups_balanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9832840786922368	0.9675652959912935				0.45095505588687956	groups_balanced_moderate_drop	raw	42
42	50	30	0.5	4	0.8506323519760497	0.87371604290863				0.43327808007597923	groups_balanced_moderate_drop	raw	42
42	50	30	1.0	7	0.545675906069003	0.7142687524100958				0.6048150488641113	groups_balanced_moderate_drop	raw	42
42	20	10	0.2	3	0.956951795446683	0.9256502315883998				0.21546735195443034	groups_balanced_moderate_drop_group	raw	42
42	20	10	0.5	4	0.8596351319363856	0.8531518746093739				0.21235782792791724	groups_balanced_moderate_drop_group	raw	42
42	20	10	1.0	9	0.4218485229941332	0.6299820214516221				0.21001863386482	groups_balanced_moderate_drop_group	raw	42
42	20	15	0.2	3	0.9593635719358852	0.9306447761916733				0.3585950022097677	groups_balanced_moderate_drop_group	raw	42
42	20	15	0.5	4	0.8645423130977661	0.8540358905186344				0.3081810169387609	groups_balanced_moderate_drop_group	raw	42
42	20	15	1.0	8	0.47653637291943735	0.6616026238274036				0.2885019851382822	groups_balanced_moderate_drop_group	raw	42
42	20	30	0.2	3	0.9604558231754954	0.9305313093660041				0.4341733658220619	groups_balanced_moderate_drop_group	raw	42
42	20	30	0.5	4	0.8437205495903363	0.846652279019474				0.45989629812538624	groups_balanced_moderate_drop_group	raw	42
42	20	30	1.0	7	0.5214678872954601	0.6818322471149383				0.5191833979915828	groups_balanced_moderate_drop_group	raw	42
42	50	10	0.2	3	0.9575004842098447	0.9263612632274889				0.22746558394283056	groups_balanced_moderate_drop_group	raw	42
42	50	10	0.5	4	0.8714401883057119	0.8598797131294903				0.22471456113271415	groups_balanced_moderate_drop_group	raw	42
42	50	10	1.0	9	0.44003184207504364	0.6363174722294344				0.2194941327907145	groups_balanced_moderate_drop_group	raw	42
42	50	15	0.2	3	0.9587026716336873	0.9277929561064742				0.31115597882308066	groups_balanced_moderate_drop_group	raw	42
42	50	15	0.5	4	0.8695180119361159	0.8583819045101564				0.297869955888018	groups_balanced_moderate_drop_group	raw	42
42	50	15	1.0	8	0.5045846401955248	0.6733687622656198				0.3161220089532435	groups_balanced_moderate_drop_group	raw	42
42	50	30	0.2	3	0.9604616710343304	0.9305317863883571				0.4473551129922271	groups_balanced_moderate_drop_group	raw	42
42	50	30	0.5	4	0.8735826371041271	0.8606712877371407				0.5103453951887786	groups_balanced_moderate_drop_group	raw	42
42	50	30	1.0	7	0.5065026422887253	0.6779803863315891				0.4928402351215482	groups_balanced_moderate_drop_group	raw	42
42	20	10	0.2	3	1.0	1.0				0.25012562493793666	groups_balanced_nodrop	raw	42
42	20	10	0.5	3	1.0	1.0				0.2231771880760789	groups_balanced_nodrop	raw	42
42	20	10	1.0	6	0.5828010875555779	0.763384331178557				0.2193729979917407	groups_balanced_nodrop	raw	42
42	20	15	0.2	3	1.0	1.0				0.3166061860974878	groups_balanced_nodrop	raw	42
42	20	15	0.5	3	1.0	1.0				0.3110636218916625	groups_balanced_nodrop	raw	42
42	20	15	1.0	6	0.5775133584277035	0.7618889085299413				0.2977471549529582	groups_balanced_nodrop	raw	42
42	20	30	0.2	3	1.0	1.0				0.4034377890639007	groups_balanced_nodrop	raw	42
42	20	30	0.5	3	1.0	1.0				0.5261597589123994	groups_balanced_nodrop	raw	42
42	20	30	1.0	6	0.6113135113749748	0.7715617936699609				0.5955403079278767	groups_balanced_nodrop	raw	42
42	50	10	0.2	3	1.0	1.0				0.22194192209281027	groups_balanced_nodrop	raw	42
42	50	10	0.5	3	1.0	1.0				0.25644533592276275	groups_balanced_nodrop	raw	42
42	50	10	1.0	7	0.5751365854670061	0.7580851301909031				0.2275074920617044	groups_balanced_nodrop	raw	42
42	50	15	0.2	3	1.0	1.0				0.31583953206427395	groups_balanced_nodrop	raw	42
42	50	15	0.5	3	1.0	1.0				0.33143113111145794	groups_balanced_nodrop	raw	42
42	50	15	1.0	6	0.584100035809362	0.7637543901229362				0.30904884287156165	groups_balanced_nodrop	raw	42
42	50	30	0.2	3	1.0	1.0				0.4255898119881749	groups_balanced_nodrop	raw	42
42	50	30	0.5	3	1.0	1.0				0.4651925510261208	groups_balanced_nodrop	raw	42
42	50	30	1.0	6	0.5797538761410627	0.7624964220558957				0.7008537051733583	groups_balanced_nodrop	raw	42
42	20	10	0.2	3	0.9604570052210588	0.9183157240682014				0.22629724885337055	groups_imbalanced_moderate_drop	raw	42
42	20	10	0.5	5	0.5380451427388886	0.697178668948503				0.23079788498580456	groups_imbalanced_moderate_drop	raw	42
42	20	10	1.0	11	0.2315835433764282	0.5097591468255622				0.22097116382792592	groups_imbalanced_moderate_drop	raw	42
42	20	15	0.2	3	0.9633132809454639	0.9234935882530713				0.3062786709051579	groups_imbalanced_moderate_drop	raw	42
42	20	15	0.5	5	0.5652450449600285	0.7134384996485101				0.3294550720602274	groups_imbalanced_moderate_drop	raw	42
42	20	15	1.0	10	0.23222251493123297	0.5129569676655615				0.29641363699920475	groups_imbalanced_moderate_drop	raw	42
42	20	30	0.2	3	0.9624962172147501	0.9240334446048782				0.5272926669567823	groups_imbalanced_moderate_drop	raw	42
42	20	30	0.5	4	0.5984363283246402	0.7428175531835511				0.5414726249873638	groups_imbalanced_moderate_drop	raw	42
42	20	30	1.0	9	0.2663955233413605	0.5390059907749077				0.5421171819325536	groups_imbalanced_moderate_drop	raw	42
42	50	10	0.2	3	0.9602947965094744	0.9182704954151647				0.23284145910292864	groups_imbalanced_moderate_drop	raw	42
42	50	10	0.5	5	0.4665855344864856	0.6603271348038052				0.22612005891278386	groups_imbalanced_moderate_drop	raw	42
42	50	10	1.0	12	0.2124398506928092	0.49355327532574256				0.22031345404684544	groups_imbalanced_moderate_drop	raw	42
42	50	15	0.2	3	0.9614797232288103	0.9206116794461039				0.33067763806320727	groups_imbalanced_moderate_drop	raw	42
42	50	15	0.5	4	0.5947359432830808	0.7425951370359282				0.31444219197146595	groups_imbalanced_moderate_drop	raw	42
42	50	15	1.0	10	0.2259087290777138	0.5102926945260547				0.3448127119336277	groups_imbalanced_moderate_drop	raw	42
42	50	30	0.2	3	0.9643578445013709	0.9250859911644568				0.5582661889493465	groups_imbalanced_moderate_drop	raw	42
42	50	30	0.5	4	0.6020117088466114	0.7479120674467725				0.556607844075188	groups_imbalanced_moderate_drop	raw	42
42	50	30	1.0	7	0.32390222138076846	0.5845465005368479				0.7345716350246221	groups_imbalanced_moderate_drop	raw	42
42	20	10	0.2	4	0.95867525974607	0.9180468983925942				0.21735354512929916	groups_imbalanced_moderate_drop_group	raw	42
42	20	10	0.5	8	0.39231876690544304	0.6157551719000188				0.215103967115283	groups_imbalanced_moderate_drop_group	raw	42
42	20	10	1.0	12	0.23170587335395604	0.5152138529977646				0.21535697509534657	groups_imbalanced_moderate_drop_group	raw	42
42	20	15	0.2	3	0.9634097726261415	0.9274959615308911				0.2735093298833817	groups_imbalanced_moderate_drop_group	raw	42
42	20	15	0.5	4	0.5965873362777632	0.7540275214568801				0.27650644606910646	groups_imbalanced_moderate_drop_group	raw	42
42	20	15	1.0	11	0.29573316611374095	0.5473489425652539				0.27276319288648665	groups_imbalanced_moderate_drop_group	raw	42
42	20	30	0.2	3	0.9654393230464563	0.931264341811264				0.510843344964087	groups_imbalanced_moderate_drop_group	raw	42
