dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.8087413905949249	1.554112222547498	0.11432382799205063	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	0.5497925021739603	1.4081221976664682	0.1989096961050473	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	0.904661121114747	1.5280581462446015	0.1056116707122877	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	0.6682632935307729	1.4320376020444616	0.1384667208596696	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	0.7328645768536013		0.1393279789172638					
