dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
batch_effects_moderate_drop	raw	42	144.18385414103977	0.23662081444565145	0.3195558408709355	0.016157684250078023	0.3561807147734052	1.1449996087163534	0.42300004706653516	0.6234130656175213	0.5481717880847837	0.708969486707449	0.5458081625636053	0.7050220632241883	6.0
batch_effects_moderate_drop	all_obs0.05	42	144.18385414103977	0.23364510846860048	0.33008808502866055	0.014582309668702276	0.3544054062443396	1.1362639560194039	0.41921859784883453	0.6261309293153291	0.5488634405098559	0.710625804181547	0.5488634405098559	0.710625804181547	6.0
batch_effects_moderate_drop	all_obs0.1	42	144.18385414103977	0.23782410115101407	0.3548328606325407	0.013087723551766245	0.35851505406571493	1.1480238118553987	0.4259383520398552	0.6291931812485717	0.5508797052603984	0.7145276037906494	0.5454836003540906	0.7027071804879382	6.0
batch_effects_moderate_drop	all_obs0.15	42	144.18385414103977	0.24915779130511168	0.3937901132691987	0.011673927523308467	0.3673408217867951	1.1789677381320274	0.42790188928116796	0.6306742008976208	0.5505225723635667	0.7114544312761266	0.5505225723635667	0.7114544312761266	6.0
batch_effects_moderate_drop	all_obs0.2	42	144.18385414103977	0.2676461722017479	0.4469599325855485	0.010340918279823372	0.3798299706398619	1.226254680791692	0.4393540210361954	0.6377288328589535	0.5494528189509285	0.7138390712259236	0.5485703843322977	0.7088283458506023	6.0
batch_effects_moderate_drop	all_obs0.25	42	144.18385414103977	0.2932892518440378	0.5143422897524771	0.009088697389357681	0.39510354493812366	1.2866290068246016	0.44031972758876253	0.6364678375964206	0.5481674565884702	0.709705593611162	0.5190245333811158	0.6676521709944773	6.0
batch_effects_moderate_drop	all_obs1.0	42	144.18385414103977	1.5364988680429639	3.230580376050765	0.0	0.7619252881557632	2.739597669811491	0.29799611482657506	0.41288745520971193	0.49034006958925536	0.6170954113949092	0.2903759569142468	0.4133605544198845	4.0
batch_effects_moderate_drop_group	raw	42	144.1348808130715	0.2154846370580238	0.2948495531391683	0.015447023115091635	0.3375486532964823	1.1225804006877733	0.44629011214772873	0.6277674762675445	0.531770643815891	0.6807681044599115	0.5261492939484524	0.6733193508684421	6.0
batch_effects_moderate_drop_group	all_obs0.05	42	144.1348808130715	0.2110204342645296	0.30185986257148484	0.013940938003651974	0.3343056432527087	1.1096547085692419	0.4422574927083234	0.6218281700187132	0.528744186046047	0.6745686711031382	0.5239090267521364	0.6645526928907447	6.0
batch_effects_moderate_drop_group	all_obs0.1	42	144.1348808130715	0.2142412025294566	0.32528071352182286	0.012512088064449946	0.3377127483912754	1.1195227412955113	0.4377431020214683	0.6171514503876167	0.5261027998481236	0.6699913004910144	0.5167840365113059	0.6578788672696354	6.0
batch_effects_moderate_drop_group	all_obs0.15	42	144.1348808130715	0.2251469431133683	0.36511204921762885	0.01116047482937984	0.34636277631495455	1.1508659564269275	0.4414589705641081	0.6197720270733362	0.526136304906295	0.6710637865436786	0.517392095345942	0.6532001764094574	6.0
batch_effects_moderate_drop_group	all_obs0.2	42	144.1348808130715	0.24373764305229775	0.4213539615583991	0.009886095131718658	0.3589917273510505	1.2004805635765803	0.44359878597589025	0.6255962428031113	0.5304754922641381	0.6834775810593648	0.5272521433673092	0.6780425058256676	6.0
batch_effects_moderate_drop_group	all_obs0.25	42	144.1348808130715	0.27001331385609817	0.49400642139079637	0.008688950501347235	0.37461011419904844	1.2646426872050511	0.4471934439830665	0.6292901564957787	0.540477771368696	0.6951238174248541	0.540477771368696	0.6951238174248541	6.0
batch_effects_moderate_drop_group	all_obs1.0	42	144.1348808130715	1.586344436069441	3.553057119495167	0.0	0.7513418290357068	2.818912542108973	0.5043741955234312	0.6030382859535944	0.6752083730765668	0.7331880274235131	0.386651091597767	0.519438242817948	3.0
groups_balanced_moderate_drop	raw	42	144.50917031406425	0.21824264173550784	0.2873458752734228	0.013172002171668543	0.3457245540018763	1.155541273732946	0.736814720137825	0.8347622437209737	0.9946048937444701	0.9879234201633059	0.9946048937444701	0.9879234201633059	3.0
groups_balanced_moderate_drop	all_obs0.05	42	144.50917031406425	0.2146739425629843	0.2956314524834224	0.011887731650118454	0.3434059315696051	1.1452053046516728	0.7772690170434001	0.8545371412262397	0.9934136777385185	0.9856984472051393	0.9916106315076144	0.9820318939539873	3.0
