rank	run_id	ok	score	avg_mse	avg_bz_mse	runtime_sec	elapsed_wall_sec	gpu	epochs	lr	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	bio_reg_weight	hidden	bottleneck	batch_size	weight_decay	activation	dropout	layer_norm	residual	WARMUP_REFINEMENT_FRACTION	POSTHOC_ZERO_SHRINK_SCALE	REFINED_PBIO_TRAIN_SCALE	simplicity_penalty	local_distance	error
24	r1_016	True	0.1448488895	0.2022047685	0.0437465052	280.010	280.010		420	0.00025	0.004	0.65	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
20	r1_017	True	0.1447660215	0.2018491270	0.0438414580	286.481	286.481		420	0.0003	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
42	r1_018	True	0.1460980793	0.1873617184	0.0524172201	284.445	284.445		420	0.00025	0.004	0.55	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
32	r1_019	True	0.1452369901	0.2073556082	0.0415591860	292.252	292.252		420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
37	r1_020	True	0.1456457077	0.2170154831	0.0371379662	285.030	285.030		420	0.00025	0.004	0.55	0.04	2.0	1.0	0.3	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
14	r1_021	True	0.1444978270	0.2016651103	0.0436652718	285.219	285.219		420	0.00025	0.004	0.55	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
4	r1c_000	True	0.1434476496	0.1998155598	0.0435398697	246.430	270.024	0	360	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
1	r1c_004	True	0.1421561296	0.1942035017	0.0450543787	262.602	288.019	4	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	2.000000	
9	r1c_002	True	0.1443290242	0.2000786181	0.0442897152	279.176	303.030	2	420	0.00025	0.003	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
6	r1c_001	True	0.1437737745	0.2007087068	0.0434194211	284.056	306.036	1	420	0.0002	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
18	r1c_005	True	0.1446209031	0.1968961817	0.0461728123	294.690	318.031	5	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.05	1.0	0.096000	2.000000	
12	r1c_003	True	0.1444243716	0.2011082000	0.0438702715	295.929	321.039	3	420	0.00025	0.004	0.55	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
46	r1c_006	True	0.1475614733	0.2096065443	0.0427582012	290.159	312.033	0	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.128000	2.000000	
10	r1c_007	True	0.1443438196	0.2020415950	0.0433230221	282.915	303.035	4	420	0.00025	0.005	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
45	r1c_009	True	0.1467025905	0.1879918369	0.0527066720	288.703	309.032	1	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
38	r1c_010	True	0.1456469458	0.2082044333	0.0415447291	282.818	303.032	5	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
43	r1c_011	True	0.1462318336	0.2179344606	0.0372646033	286.285	306.032	3	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.3	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
29	r1c_008	True	0.1450358073	0.2019993732	0.0440361207	325.029	345.049	2	480	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
7	r1c_013	True	0.1441260522	0.2004198868	0.0439161088	243.135	261.029	4	360	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
26	r1c_012	True	0.1449696500	0.2028265389	0.0435563806	283.382	306.042	0	420	0.0003	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
27	r1c_014	True	0.1449966310	0.2012196676	0.0443867972	288.211	309.038	1	420	0.0003	0.003	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
31	r1c_015	True	0.1452103144	0.2029267263	0.0437469513	285.166	306.044	5	420	0.0003	0.004	0.6	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
3	r1c_016	True	0.1424996707	0.1951880650	0.0449056382	283.070	303.044	3	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	2.000000	
30	r1c_017	True	0.1451465103	0.1979803535	0.0461563336	292.193	312.042	2	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.05	1.0	0.096000	2.000000	
48	r1c_018	True	0.1486414356	0.2118870008	0.0426979352	282.888	306.037	4	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.128000	2.000000	
28	r1c_019	True	0.1450070209	0.2034565692	0.0432787363	288.279	306.040	0	420	0.0003	0.005	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
39	r1c_021	True	0.1457229145	0.1869581548	0.0522438371	283.094	303.030	5	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
23	r1c_022	True	0.1448274603	0.2073430258	0.0411559474	291.163	312.028	3	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
34	r1c_023	True	0.1453114626	0.2172066420	0.0367081416	286.073	306.025	2	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.3	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
36	r1c_020	True	0.1456324802	0.2032540773	0.0440054416	328.013	351.039	1	480	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
11	r1c_024	True	0.1443701008	0.2020917351	0.0433242332	283.607	306.020	4	420	0.0002	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
40	r1c_025	True	0.1458361805	0.1921278353	0.0497722629	282.785	303.016	0	420	0.00025	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
