dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	1.1659122705459595	1.6351910829544067	0.6260833144187927	0.7050302028656006	92300	36914	7279	48107
dataset_3_types_unequal	1.1441798210144043	1.6598671674728394	0.6669508814811707	0.7076694965362549	92600	33394	7662	51544
dataset_4_types_rare	1.2963427305221558	1.6304316520690918	0.47703230381011963	0.7767646312713623	93200	50349	8182	34669
dataset_multibatch_dropout	1.1507781744003296	1.5067847967147827	0.46010634303092957	0.6579716801643372	291600	145828	36313	109459
AVG	1.1893032491207123		0.5575432106852531					
