iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
34	4.0022199999999994	False	0.8596599999999999	0.89748	0.9364399999999999	0.44898	[256]	8	16	0.001	300	0.0	0.4	0.4	6.0	0.5	1e-05	relu	0.0	True	False
35	3.8512	False	0.84038	0.8844	0.9344999999999999	0.3515400000000001	[256, 256]	64	128	0.001	500	0.0	0.5	0.05	2.0	1.0	1e-05	silu	0.0	False	False
36	3.79714	False	0.8385200000000002	0.8811399999999999	0.9283199999999999	0.31063999999999997	[128]	128	8	0.001	500	0.02	0.1	0.05	1.0	1.0	0.0	gelu	0.0	False	False
37	4.39128	False	0.8829799999999999	0.89476	0.9094800000000001	0.8210799999999999	[256, 128, 64]	8	8	5e-05	500	0.0	0.3	0.2	2.0	1.0	0.001	gelu	0.2	True	True
38	4.000120000000001	False	0.86654	0.89444	0.94034	0.43226000000000003	[128, 64]	64	128	0.0005	500	0.02	0.1	0.2	0.5	2.0	0.0	silu	0.0	False	True
39	4.15896	False	0.8680999999999999	0.8964000000000001	0.9393800000000001	0.5869800000000001	[256, 256]	32	16	5e-05	200	0.01	0.5	0.2	6.0	0.25	0.0	leaky_relu	0.0	True	False
40	4.010260000000001	False	0.82922	0.88002	0.9291	0.5427000000000001	[256, 256]	64	8	0.001	500	0.1	0.5	0.1	6.0	0.5	0.001	relu	0.2	False	True
41	3.9806399999999997	False	0.7901400000000001	0.8254999999999999	0.8823000000000001	0.6925600000000001	[256, 128]	64	64	5e-05	500	0.02	0.2	0.2	6.0	2.0	0.001	gelu	0.2	True	True
42	3.9679200000000003	False	0.79052	0.82386	0.88292	0.6801	[256, 128]	16	16	5e-05	200	0.02	0.3	0.05	2.0	1.0	0.0	gelu	0.05	False	False
43	3.9502200000000003	False	0.7573400000000001	0.8104799999999999	0.85896	0.7661	[256, 128, 64]	16	32	0.0001	200	0.05	0.2	0.1	4.0	2.0	0.0001	leaky_relu	0.2	True	True
44	3.913640000000001	False	0.8399800000000001	0.8777799999999999	0.9315000000000001	0.4244	[128]	32	32	0.001	500	0.02	0.4	0.1	6.0	1.0	0.0001	leaky_relu	0.1	True	False
45	3.6943200000000003	False	0.7141200000000001	0.8104800000000001	0.88602	0.5695800000000001	[64]	64	8	0.0001	400	0.05	0.3	0.4	6.0	0.25	0.001	relu	0.1	True	True
46	3.9202000000000004	False	0.7583200000000001	0.84604	0.9036799999999999	0.65384	[256, 128, 64]	32	8	0.0002	500	0.05	0.1	0.4	6.0	0.25	0.001	gelu	0.1	True	True
47	3.8997599999999997	False	0.8406400000000002	0.88382	0.92502	0.40964	[256, 256]	64	128	0.001	200	0.01	0.4	0.2	0.5	0.25	0.0001	relu	0.0	True	False
48	4.235519999999999	False	0.86392	0.8946	0.94276	0.6703199999999999	[256, 128]	8	32	0.0002	300	0.05	0.3	0.3	4.0	2.0	0.001	relu	0.05	True	True
