iter	score	ok	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay	activation	dropout	layer_norm	residual
145	4.0847	False	0.8182600000000001	0.8834800000000002	0.9289200000000001	0.6357799999999999	[128, 128]	16	32	0.001	500	0.1	0.2	0.4	6.0	2.0	0.0	relu	0.2	False	False
146	4.06058	False	0.84016	0.87812	0.92872	0.57342	[256, 128, 64]	8	32	0.0005	300	0.05	0.2	0.3	4.0	1.0	1e-05	gelu	0.05	True	True
147	3.9852399999999997	False	0.8387399999999999	0.8813599999999999	0.92736	0.49904000000000004	[256]	32	16	0.0001	400	0.1	0.2	0.4	2.0	0.25	1e-05	silu	0.0	True	False
148	3.0463999999999998	False	0.50436	0.63464	0.7336600000000001	0.66938	[128, 128]	8	128	0.0001	200	0.05	0.4	0.3	0.5	0.25	1e-05	gelu	0.2	True	False
149	4.23534	False	0.8678000000000001	0.89582	0.9424800000000001	0.66144	[256, 256]	8	8	0.0002	300	0.05	0.5	0.4	1.0	2.0	0.0001	silu	0.2	True	True
150	4.008100000000001	False	0.85038	0.8891	0.9339999999999999	0.48424000000000006	[128, 128]	16	16	0.0002	500	0.01	0.4	0.2	0.5	1.0	0.001	relu	0.0	True	False
151	4.1631800000000005	False	0.8720799999999999	0.8990400000000001	0.94156	0.57842	[128, 64]	32	16	0.0002	300	0.05	0.4	0.3	0.5	2.0	0.0	leaky_relu	0.0	False	False
152	3.31576	False	0.6312	0.73004	0.8210000000000001	0.5023199999999999	[32]	64	64	5e-05	500	0.01	0.2	0.1	2.0	0.25	1e-05	silu	0.0	True	True
153	3.90954	False	0.84382	0.88066	0.93078	0.41045999999999994	[256, 128, 64]	16	16	0.0005	400	0.1	0.5	0.4	6.0	0.5	1e-05	gelu	0.0	False	True
154	4.096080000000001	False	0.84108	0.88416	0.92696	0.6028	[128, 128]	8	32	0.0001	500	0.01	0.1	0.2	6.0	2.0	0.0	gelu	0.0	True	True
155	3.7655000000000003	False	0.7430800000000001	0.79294	0.8627	0.6237	[128]	8	32	5e-05	200	0.0	0.1	0.2	6.0	2.0	0.0	silu	0.05	False	True
156	3.96646	False	0.7716799999999999	0.8222400000000001	0.8716200000000001	0.7292400000000001	[128, 128]	16	8	5e-05	200	0.0	0.5	0.1	6.0	1.0	0.0001	gelu	0.2	True	False
157	3.9738599999999997	False	0.83966	0.88354	0.9328200000000001	0.47818000000000005	[256]	16	32	0.0005	400	0.01	0.2	0.3	1.0	1.0	0.0001	leaky_relu	0.1	True	False
158	3.9043800000000006	False	0.85716	0.8947800000000001	0.9355600000000001	0.35972000000000004	[256]	32	16	0.0005	200	0.05	0.4	0.4	0.5	2.0	0.0	gelu	0.0	True	False
159	4.02586	False	0.80134	0.8383600000000001	0.8906600000000001	0.69416	[32]	128	8	0.0001	400	0.1	0.5	0.05	6.0	1.0	0.0	gelu	0.2	True	False
160	3.9501399999999998	False	0.85362	0.88444	0.93536	0.4231	[128, 128]	128	128	0.001	500	0.02	0.1	0.3	1.0	0.5	0.0001	leaky_relu	0.05	True	True
161	2.79344	False	0.46782	0.60816	0.7224600000000001	0.52718	[32]	32	64	0.0002	300	0.1	0.2	0.3	2.0	0.25	0.0001	silu	0.2	False	False
162	3.7441400000000002	False	0.7122599999999999	0.8112999999999999	0.88536	0.62296	[128, 64]	64	16	0.0001	300	0.01	0.4	0.05	6.0	0.5	0.0001	silu	0.05	False	False
163	4.15502	False	0.86418	0.8927200000000001	0.9379199999999999	0.59602	[64]	32	8	0.0001	300	0.02	0.4	0.3	6.0	0.25	1e-05	silu	0.0	True	True
164	4.19942	False	0.8704600000000001	0.8960800000000001	0.9411799999999999	0.62124	[256, 256]	64	64	0.0005	200	0.1	0.5	0.05	2.0	2.0	1e-05	leaky_relu	0.2	True	False
165	3.9724200000000005	False	0.81986	0.86858	0.9246000000000001	0.53952	[256]	16	32	0.0002	300	0.0	0.2	0.3	0.5	0.25	0.001	silu	0.05	True	False
166	4.14842	False	0.86176	0.8953	0.9406399999999999	0.5889599999999999	[256]	32	8	5e-05	200	0.05	0.5	0.05	1.0	0.5	1e-05	silu	0.0	False	False
167	4.148160000000001	False	0.8637799999999999	0.89484	0.9389199999999999	0.5868399999999999	[256]	16	128	0.0005	300	0.01	0.5	0.4	0.5	2.0	0.0001	silu	0.2	True	False
168	3.9864400000000004	False	0.79268	0.8273400000000001	0.90086	0.6728799999999999	[64]	32	64	0.0002	200	0.0	0.5	0.4	4.0	0.25	0.001	relu	0.1	True	True
169	4.19134	False	0.84088	0.87568	0.9254999999999999	0.7083999999999999	[256]	8	16	0.0002	200	0.01	0.3	0.4	0.5	1.0	0.001	leaky_relu	0.2	True	True
170	4.10722	False	0.84548	0.8875400000000001	0.9335799999999999	0.59514	[256, 256]	16	32	0.0002	300	0.01	0.5	0.4	1.0	2.0	1e-05	leaky_relu	0.1	True	False
171	4.22226	False	0.87004	0.89828	0.9425399999999999	0.64136	[256, 128]	16	16	5e-05	500	0.0	0.4	0.4	0.5	1.0	0.0001	gelu	0.1	True	False
172	3.98254	False	0.83522	0.88256	0.9339600000000001	0.4955799999999999	[256]	128	64	0.0001	500	0.1	0.5	0.3	1.0	2.0	1e-05	gelu	0.05	False	True
173	3.91444	False	0.8396000000000001	0.88232	0.9248200000000001	0.4281	[256]	32	16	0.0005	300	0.02	0.2	0.1	6.0	0.5	0.0	gelu	0.1	True	False
174	4.10352	False	0.8550599999999999	0.88796	0.9377400000000001	0.5677	[64]	32	64	0.001	300	0.1	0.2	0.3	2.0	2.0	0.001	relu	0.05	False	True
175	3.9772000000000007	False	0.8555400000000001	0.89144	0.9333199999999999	0.44136	[256, 256]	128	8	0.0002	200	0.05	0.5	0.05	4.0	2.0	0.001	gelu	0.0	False	True
176	3.6478200000000003	False	0.7694799999999999	0.8444200000000001	0.9053599999999999	0.35908	[256, 128]	128	8	0.0005	200	0.1	0.4	0.4	2.0	0.25	0.0	gelu	0.1	True	True
177	4.2032	False	0.8592000000000001	0.88744	0.93536	0.6620000000000001	[128]	32	16	0.0002	300	0.0	0.3	0.3	6.0	0.5	0.001	leaky_relu	0.2	True	True
178	4.26068	False	0.8667400000000001	0.8932	0.93908	0.69492	[256, 128]	8	16	0.0005	200	0.02	0.4	0.05	2.0	0.25	0.0001	silu	0.2	True	True
179	4.20796	False	0.90158	0.8966999999999998	0.92466	0.58344	[128, 128]	128	128	5e-05	500	0.02	0.5	0.4	2.0	0.5	0.0	silu	0.05	False	True
180	3.9563999999999995	False	0.84324	0.8814399999999999	0.92674	0.46174	[128, 64]	16	32	0.0005	500	0.05	0.4	0.4	2.0	2.0	1e-05	silu	0.05	True	False
181	4.07508	False	0.8614599999999999	0.8947799999999999	0.9358600000000001	0.52152	[128, 128]	64	16	0.001	200	0.01	0.4	0.1	4.0	2.0	0.0	silu	0.2	False	True
182	4.13926	False	0.8546000000000001	0.8702	0.9092399999999999	0.65062	[128, 64]	32	64	0.0002	200	0.05	0.4	0.05	1.0	2.0	0.0001	silu	0.0	False	False
183	3.9938000000000002	False	0.79252	0.8247800000000002	0.8977	0.68628	[256, 256]	32	128	0.0001	300	0.0	0.3	0.05	2.0	0.5	0.0	silu	0.1	False	False
184	4.1193800000000005	False	0.85158	0.88314	0.9324	0.6006800000000001	[256]	16	128	0.0002	500	0.01	0.1	0.2	4.0	2.0	0.001	leaky_relu	0.1	True	False
185	4.0614799999999995	False	0.8504000000000002	0.8487600000000001	0.9032399999999999	0.6086799999999999	[64]	32	16	5e-05	200	0.02	0.2	0.4	2.0	2.0	0.0001	silu	0.0	False	True
186	4.20788	False	0.8835000000000001	0.8810800000000001	0.9324	0.6274	[128]	32	128	0.0001	200	0.01	0.5	0.3	6.0	2.0	0.0	gelu	0.0	True	True
187	4.36306	False	0.8881600000000001	0.8914799999999999	0.92208	0.7731800000000001	[256, 256]	8	64	0.0002	200	0.1	0.5	0.2	4.0	0.5	0.001	gelu	0.2	True	False
188	4.166259999999999	False	0.83636	0.8845599999999999	0.92688	0.6821	[256, 256]	16	16	0.0005	200	0.02	0.2	0.05	6.0	0.25	0.0	relu	0.2	True	True
189	3.866180000000001	False	0.75198	0.84404	0.9018599999999999	0.6163200000000001	[128, 64]	128	8	0.001	400	0.1	0.2	0.4	4.0	0.25	0.001	leaky_relu	0.05	False	False
190	4.22988	False	0.87752	0.88992	0.9202600000000001	0.66466	[128, 64]	128	128	0.0001	500	0.02	0.4	0.3	2.0	0.5	1e-05	leaky_relu	0.05	True	False
191	4.10414	False	0.8395800000000001	0.86392	0.90622	0.6548400000000001	[64]	16	8	5e-05	400	0.0	0.3	0.3	4.0	0.5	0.0	leaky_relu	0.2	False	False
192	4.29962	False	0.8934	0.88554	0.91616	0.71112	[32]	16	8	0.001	200	0.01	0.5	0.4	1.0	0.5	0.0001	relu	0.2	False	True
193	3.68844	False	0.73804	0.7756399999999999	0.8528	0.58392	[32]	16	32	5e-05	300	0.0	0.5	0.05	0.5	0.25	0.0	relu	0.05	False	False
194	4.400719999999999	False	0.89986	0.901	0.9282199999999999	0.77178	[128, 64]	64	64	0.0005	200	0.02	0.5	0.4	4.0	1.0	0.001	relu	0.2	True	False
195	4.108320000000001	False	0.85078	0.86266	0.8996999999999999	0.6444	[64]	8	32	0.0001	300	0.02	0.4	0.4	6.0	0.5	1e-05	leaky_relu	0.0	False	False
196	3.8872799999999996	False	0.78012	0.8201	0.8808400000000001	0.6261000000000001	[64]	64	16	5e-05	400	0.0	0.4	0.05	2.0	2.0	0.0	leaky_relu	0.1	False	False
197	4.05826	False	0.79792	0.82028	0.8715400000000001	0.7706	[256, 128, 64]	128	64	5e-05	500	0.0	0.3	0.2	2.0	1.0	0.0	relu	0.2	True	False
198	4.029680000000001	False	0.85138	0.89	0.9321000000000002	0.5048199999999999	[256, 256]	8	32	0.0002	300	0.1	0.3	0.4	0.5	1.0	0.0001	silu	0.0	False	True
199	4.24028	False	0.8661999999999999	0.8989800000000001	0.9434999999999999	0.6654	[256, 128]	8	32	0.001	200	0.02	0.3	0.4	1.0	0.5	0.0001	silu	0.2	False	True
200	3.8578400000000004	False	0.8310400000000001	0.8747	0.9315	0.38955999999999996	[256, 128]	64	64	0.001	300	0.02	0.4	0.05	6.0	2.0	0.0001	gelu	0.05	True	True
