dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	4.76986837387085	0.0	6.562924385070801	0.0	0.04822951927781105	0.0	3.8847928047180176	0.0	1.2046800410025753	0.0	1	1066000	544846	134412	386742	
dataset_3_types_unequal	4.355091094970703	0.0	5.748443126678467	0.0	0.05588167533278465	0.0	3.9618136882781982	0.0	0.0815771869965829	0.0	1	1065000	528580	134548	401872	
dataset_4_types_rare	4.550076007843018	0.0	5.989253520965576	0.0	0.05923313647508621	0.0	4.202837944030762	0.0	0.08092245401348919	0.0	1	1073000	539831	142817	390352	
dataset_multibatch_dropout	4.074613571166992	0.0	5.381950378417969	0.0	0.03494669497013092	0.0	3.831400156021118	0.0	0.08577454899204895	0.0	1	1072000	514202	141335	416463	
