dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	2.195519208908081	2.357867956161499	0.2683735489845276	2.2296905517578125	92300	36914	7279	48107
dataset_3_types_unequal	2.175570487976074	2.316662073135376	0.27395865321159363	2.2393956184387207	92600	33394	7662	51544
dataset_4_types_rare	2.1560468673706055	2.2899136543273926	0.2980969548225403	2.204606771469116	93200	50349	8182	34669
dataset_multibatch_dropout	2.1266348361968994	2.3314924240112305	0.23054954409599304	2.188281774520874	291600	145828	36313	109459
AVG	2.163442850112915		0.26774467527866364					
