config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	thr_drop	post_p_bio_temp	post_p_bio_bias	p_bio_mix	avg_rmse	avg_bz_rmse	score
28	1.0	0.7	1.2	0.0	0.99	2.0	0.5	0.5	2.2172231674194336	0.15379477106034756	1.2624063547700644
26	1.0	0.7	1.2	0.0	0.99	2.0	0.0	0.5	2.2085964679718018	0.1697511300444603	1.2740493640303612
12	1.0	0.7	0.8	0.0	0.99	2.0	0.5	0.5	2.316143035888672	0.11747096292674541	1.2755424808710814
60	1.0	1.0	1.2	0.0	0.99	2.0	0.5	0.5	2.2980546951293945	0.13337879069149494	1.2824061382561922
10	1.0	0.7	0.8	0.0	0.99	2.0	0.0	0.5	2.3093554377555847	0.1298123300075531	1.2844900488853455
58	1.0	1.0	1.2	0.0	0.99	2.0	0.0	0.5	2.290295720100403	0.14813184179365635	1.2932797018438578
44	1.0	1.0	0.8	0.0	0.99	2.0	0.5	0.5	2.3975342512130737	0.10002893395721912	1.298796059563756
20	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.5	2.191354215145111	0.20340367034077644	1.299080777913332
32	1.0	0.7	1.2	0.0	0.99	3.0	0.5	0.5	2.190433084964752	0.20458856597542763	1.2998051084578037
4	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.5	2.2957193851470947	0.15671260841190815	1.3045723009854555
16	1.0	0.7	0.8	0.0	0.99	3.0	0.5	0.5	2.2947744727134705	0.1577121801674366	1.3050994165241718
30	1.0	0.7	1.2	0.0	0.99	3.0	0.0	0.5	2.1862640976905823	0.21340763941407204	1.3065396882593632
42	1.0	1.0	0.8	0.0	0.99	2.0	0.0	0.5	2.3915886282920837	0.11113809421658516	1.306932408362627
18	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.5	2.1851202249526978	0.21636123210191727	1.3089213445782661
14	1.0	0.7	0.8	0.0	0.99	3.0	0.0	0.5	2.2914096117019653	0.16526691615581512	1.3109717220067978
2	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.5	2.290680170059204	0.16776638850569725	1.3131064735352993
52	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.5	2.274592697620392	0.18010420352220535	1.3174005523324013
64	1.0	1.0	1.2	0.0	0.99	3.0	0.5	0.5	2.273782789707184	0.1811567023396492	1.3180480971932411
24	1.0	0.7	1.2	0.0	0.95	3.0	0.5	0.5	2.178752899169922	0.2310965433716774	1.3204729929566383
27	1.0	0.7	1.2	0.0	0.99	2.0	0.5	0.0	2.1712902188301086	0.2375226952135563	1.3231678046286106
8	1.0	0.7	0.8	0.0	0.95	3.0	0.5	0.5	2.2851762771606445	0.18118681758642197	1.3237749561667442
62	1.0	1.0	1.2	0.0	0.99	3.0	0.0	0.5	2.2699279189109802	0.18995585665106773	1.3249198161065578
22	1.0	0.7	1.2	0.0	0.95	3.0	0.0	0.5	2.17624431848526	0.23729519173502922	1.3254173509776592
36	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.5	2.3795414566993713	0.13568621315062046	1.3254569415003061
48	1.0	1.0	0.8	0.0	0.99	3.0	0.5	0.5	2.378741502761841	0.13653051480650902	1.3259012661874294
50	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.5	2.268824815750122	0.19302254542708397	1.327434953302145
6	1.0	0.7	0.8	0.0	0.95	3.0	0.0	0.5	2.2830103039741516	0.1871706135571003	1.328675765544176
25	1.0	0.7	1.2	0.0	0.99	2.0	0.0	0.0	2.168721377849579	0.2460617534816265	1.330422442406416
46	1.0	1.0	0.8	0.0	0.99	3.0	0.0	0.5	2.3757368326187134	0.14364264719188213	1.3315110635012388
11	1.0	0.7	0.8	0.0	0.99	2.0	0.5	0.0	2.2771605253219604	0.1929732896387577	1.331553552299738
34	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.5	2.3750346899032593	0.1461062654852867	1.3336236104369164
9	1.0	0.7	0.8	0.0	0.99	2.0	0.0	0.0	2.2748215794563293	0.2012535110116005	1.3386643007397652
56	1.0	1.0	1.2	0.0	0.95	3.0	0.5	0.5	2.262869894504547	0.20804328471422195	1.3394782319664955
19	1.0	0.7	1.2	0.0	0.95	2.0	0.5	0.0	2.1652716994285583	0.25886256247758865	1.3414984121918678
31	1.0	0.7	1.2	0.0	0.99	3.0	0.5	0.0	2.164974570274353	0.25941265374422073	1.3418999388813972
59	1.0	1.0	1.2	0.0	0.99	2.0	0.5	0.0	2.2552090287208557	0.21640504896640778	1.3440095633268356
40	1.0	1.0	0.8	0.0	0.95	3.0	0.5	0.5	2.3700730204582214	0.15917202457785606	1.3442085348069668
29	1.0	0.7	1.2	0.0	0.99	3.0	0.0	0.0	2.1644527316093445	0.26213737577199936	1.3443637415766716
17	1.0	0.7	1.2	0.0	0.95	2.0	0.0	0.0	2.1644734144210815	0.2625235877931118	1.3447602950036526
54	1.0	1.0	1.2	0.0	0.95	3.0	0.0	0.5	2.260480523109436	0.2145262286067009	1.344766490161419
23	1.0	0.7	1.2	0.0	0.95	3.0	0.5	0.0	2.1636487245559692	0.26639529690146446	1.348219659179449
38	1.0	1.0	0.8	0.0	0.95	3.0	0.0	0.5	2.368070423603058	0.16518888249993324	1.3492240943014622
21	1.0	0.7	1.2	0.0	0.95	3.0	0.0	0.0	2.163442850112915	0.26774467527866364	1.3494661003351212
3	1.0	0.7	0.8	0.0	0.95	2.0	0.5	0.0	2.2716848850250244	0.21377869322896004	1.3496211357414722
15	1.0	0.7	0.8	0.0	0.99	3.0	0.5	0.0	2.271186411380768	0.21433356776833534	1.3499267734587193
57	1.0	1.0	1.2	0.0	0.99	2.0	0.0	0.0	2.2527543902397156	0.2251545637845993	1.351531758904457
13	1.0	0.7	0.8	0.0	0.99	3.0	0.0	0.0	2.2706931829452515	0.21692178770899773	1.3522683791816235
1	1.0	0.7	0.8	0.0	0.95	2.0	0.0	0.0	2.2709315419197083	0.217319518327713	1.3527852892875671
43	1.0	1.0	0.8	0.0	0.99	2.0	0.5	0.0	2.3623433709144592	0.17246722429990768	1.3536389097571373
7	1.0	0.7	0.8	0.0	0.95	3.0	0.5	0.0	2.269972085952759	0.2211223617196083	1.3561084046959877
5	1.0	0.7	0.8	0.0	0.95	3.0	0.0	0.0	2.2697725892066956	0.22248036786913872	1.3573666624724865
41	1.0	1.0	0.8	0.0	0.99	2.0	0.0	0.0	2.3601492643356323	0.1809118613600731	1.3609864935278893
51	1.0	1.0	1.2	0.0	0.95	2.0	0.5	0.0	2.2494407296180725	0.23838961124420166	1.363109976053238
63	1.0	1.0	1.2	0.0	0.99	3.0	0.5	0.0	2.2491841316223145	0.23886074498295784	1.363452810794115
61	1.0	1.0	1.2	0.0	0.99	3.0	0.0	0.0	2.2486817836761475	0.24162093922495842	1.3659618310630322
49	1.0	1.0	1.2	0.0	0.95	2.0	0.0	0.0	2.248673439025879	0.2421606406569481	1.3664973601698875
55	1.0	1.0	1.2	0.0	0.95	3.0	0.5	0.0	2.247905910015106	0.24614565819501877	1.3700986132025719
53	1.0	1.0	1.2	0.0	0.95	3.0	0.0	0.0	2.2477081418037415	0.24754557386040688	1.3713996447622776
35	1.0	1.0	0.8	0.0	0.95	2.0	0.5	0.0	2.357169985771179	0.19382943585515022	1.3724144287407398
47	1.0	1.0	0.8	0.0	0.99	3.0	0.5	0.0	2.3567463159561157	0.1943066380918026	1.3726797960698605
45	1.0	1.0	0.8	0.0	0.99	3.0	0.0	0.0	2.356277883052826	0.19693895429372787	1.3750778958201408
33	1.0	1.0	0.8	0.0	0.95	2.0	0.0	0.0	2.356456160545349	0.19746233522891998	1.3756904155015945
39	1.0	1.0	0.8	0.0	0.95	3.0	0.5	0.0	2.3555914163589478	0.20118926838040352	1.3789849765598774
37	1.0	1.0	0.8	0.0	0.95	3.0	0.0	0.0	2.355404257774353	0.20254380628466606	1.3802459351718426
