config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	avg_rmse	avg_bz_rmse	score
9	0.0	0.7	1.2	0.6	1.492458015680313	0.4588266760110855	1.205055683851242
8	0.0	0.7	1.2	0.3	0.9315172880887985	0.7410539388656616	1.2068125829100609
5	0.0	0.7	1.0	0.3	0.945290595293045	0.7379920184612274	1.21063731610775
6	0.0	0.7	1.0	0.6	1.5195183753967285	0.4522746577858925	1.2120338454842567
2	0.0	0.7	0.8	0.3	0.9609810411930084	0.7345663458108902	1.2150568664073944
17	0.0	1.0	1.2	0.3	0.9515812247991562	0.7395630031824112	1.2153536155819893
14	0.0	1.0	1.0	0.3	0.9642621576786041	0.7365177124738693	1.2186487913131714
3	0.0	0.7	0.8	0.6	1.551354557275772	0.4446335807442665	1.2203108593821526
18	0.0	1.0	1.2	0.6	1.5316419899463654	0.45558324456214905	1.2214042395353317
11	0.0	1.0	0.8	0.3	0.9784990549087524	0.733388677239418	1.2226382046937943
26	0.0	1.3	1.2	0.3	0.9697905331850052	0.7380326837301254	1.222927950322628
23	0.0	1.3	1.0	0.3	0.9812573343515396	0.7351736128330231	1.2258022800087929
15	0.0	1.0	1.0	0.6	1.5578182935714722	0.44892990589141846	1.2278390526771545
29	0.5	0.7	0.8	0.3	0.9301318675279617	0.7634806036949158	1.2285465374588966
20	0.0	1.3	0.8	0.3	0.9939874559640884	0.7323123514652252	1.2293060794472694
32	0.5	0.7	1.0	0.3	0.9119297713041306	0.7750730663537979	1.2310379520058632
35	0.5	0.7	1.2	0.3	0.8966980576515198	0.7843377441167831	1.232686772942543
38	0.5	1.0	0.8	0.3	0.949946254491806	0.7604110687971115	1.2353841960430145
12	0.0	1.0	0.8	0.6	1.587835818529129	0.4418448731303215	1.235762782394886
27	0.0	1.3	1.2	0.6	1.5694986581802368	0.4521680101752281	1.2369173392653465
41	0.5	1.0	1.0	0.3	0.933023601770401	0.7711712121963501	1.2376830130815506
44	0.5	1.0	1.2	0.3	0.9184727966785431	0.7808180302381516	1.240054428577423
47	0.5	1.3	0.8	0.3	0.9677505046129227	0.757570281624794	1.2414455339312553
30	0.5	0.7	0.8	0.6	1.4864863753318787	0.49846065789461136	1.2417038455605507
