dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.3778	0.0	1.0	0.0	1.0	0.0	1.0	0.0	15.549449443817139	0.0	1	30	935	cell_type1	
darmanis_top1000markers	0.4402	0.0	0.8559	0.0	0.8618	0.0	0.9071	0.0	6.51950478553772	0.0	1	420	1000	cell_type1	
deng_top1000markers	0.5809	0.0	0.5428	0.0	0.7653	0.0	0.8433	0.0	5.427502632141113	0.0	1	268	1000	cell_type1	
pollen_top1000markers	0.7027	0.0	0.9591	0.0	0.9507	0.0	0.9632	0.0	5.711981296539307	0.0	1	299	1000	cell_type1	
usoskin_top1000markers	0.351	0.0	0.9489	0.0	0.9201	0.0	0.9711	0.0	9.277514696121216	0.0	1	622	1000	cell_type1	
