dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.3834	0.0	1.0	0.0	1.0	0.0	1.0	0.0	16.557366609573364	0.0	1	30	935	cell_type1	
darmanis_top1000markers	0.3847	0.0	0.8556	0.0	0.8601	0.0	0.9071	0.0	5.186820030212402	0.0	1	420	1000	cell_type1	
deng_top1000markers	0.4203	0.0	0.5527	0.0	0.7731	0.0	0.847	0.0	4.398466110229492	0.0	1	268	1000	cell_type1	
pollen_top1000markers	0.5939	0.0	0.9622	0.0	0.9561	0.0	0.9666	0.0	4.51409125328064	0.0	1	299	1000	cell_type1	
usoskin_top1000markers	0.3111	0.0	0.8355	0.0	0.8066	0.0	0.9132	0.0	6.719819784164429	0.0	1	622	1000	cell_type1	
