dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
baron-human_top1000markers	0.35756	0.007754547053181126	0.60926	0.03312179041054393	0.78962	0.014388432854206192	0.94826	0.007631710162211331	79.78742794990539	10.284840862625385	5	8569	1000	cell_type1	
baron-mouse_top1000markers	0.37688	0.022911940118636835	0.47856	0.007225856350634153	0.7316199999999999	0.010109253187055923	0.9328	0.006819457456425657	42.53022313117981	2.321738302938045	5	1886	1000	cell_type1	
campbell_top1000markers	0.25488	0.007862378774900128	0.14853999999999998	0.028366494319883803	0.4784	0.012434830115445892	0.64566	0.007187349998434757	212.74138255119323	6.961199999944149	5	21086	1000	cell_type1	
chen_top1000markers	0.23998	0.01123752641821144	0.34478	0.014242963174845325	0.6400399999999999	0.003669196097239805	0.8194000000000001	0.003591656999213577	162.9238853931427	4.74415239173572	5	14437	1000	cell_type1	
macosko_top1000markers	0.24578000000000003	0.011676129495684771	0.22818	0.02469234699254002	0.52908	0.020927541661647713	0.93042	0.0054806021566977565	338.5519875526428	10.924442176756415	5	44808	1000	cell_type1	
manno_human_top1000markers	0.20981999999999998	0.009888225321057362	0.33918	0.014924376033858173	0.61312	0.002434543078279767	0.48184000000000005	0.005331322537607352	57.48161134719849	5.693971151926056	5	4029	1000	cell_type1	
manno_mouse_top1000markers	0.22471999999999998	0.011700726473172511	0.21516000000000002	0.008188894919340455	0.54896	0.004919146267392322	0.49712000000000006	0.0072081204207477025	45.85907249450683	2.681839032403277	5	2150	1000	cell_type1	
shekhar_top1000markers	0.41394000000000003	0.005726953815074807	0.16482000000000002	0.012007372735115708	0.35122	0.02213327811238091	0.9619800000000002	0.0015205262246998385	157.46557960510253	4.550253413446278	5	27499	1000	cell_type1	
zeisel_top1000markers	0.38428000000000007	0.00790044302555244	0.67926	0.0032684858879915664	0.7577	0.002575849374478244	0.9136799999999999	0.0024232209969377518	55.976928901672366	6.843531685746606	5	3005	1000	cell_type1	
