dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	5.3653222421818	1.53758499249282e-08	10.4931151083958	0	0.00584925824760152	7.14621795157148e-11	0.00391864684261636	4.2372025442034e-08	6.3645	0.188914001598611	10	1066000	544846	134412	386742	0 (non-NA) cases
dataset_3_types_unequal	7.13442652735141	2.65671790399098e-12	11.7890352832476	0	0.00228297314426943	2.52351877310223e-11	0.00294684647917852	0	9.8709	0.2647302400558	10	1037000	627470	109181	300349	NA
dataset_4_types_rare	4.11182780920604	1.21360566839255e-08	9.20137534984593	0	0.0119813692168011	1.26521629671711e-09	0.00498654887636065	2.85147859176357e-08	5.90699999999999	0.351278616865114	10	1074000	479508	143751	450741	0 (non-NA) cases
dataset_multibatch_dropout	3.67258897154858	1.93557790363634e-08	8.67911624904698	2.16318010687027e-08	0.012161501909026	2.71553004355833e-09	0.00458630601672323	6.14938828672457e-08	5.73000000000001	0.664230214442054	10	1075000	454435	144267	476298	0 (non-NA) cases
