dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.5584726095251079	0.8725715585577037	0.2338821997071373	0.076808472455284	92300	36914	7279	48107
dataset_3_types_unequal	0.547797789319649	0.9008408007422853	0.2262799802511495	0.07573094208979393	92600	33394	7662	51544
dataset_4_types_rare	0.534945921989444	0.7224935861933087	0.1373896011050055	0.08220979409897217	93200	50349	8182	34669
dataset_multibatch_dropout	0.39573029605729854	0.5550630558036503	0.08187190470040007	0.0671113488531861	291600	145828	36313	109459
AVG	0.5092366542228749		0.1698559214409231					
