config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	calib_shrink	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	avg_rmse	avg_bz_rmse	score
16	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
80	0.0	0.7	1.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
144	0.0	0.7	1.2	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
208	0.0	1.0	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
272	0.0	1.0	1.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
336	0.0	1.0	1.2	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
400	0.5	0.7	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
464	0.5	0.7	1.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
528	0.5	0.7	1.2	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
592	0.5	1.0	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
656	0.5	1.0	1.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
720	0.5	1.0	1.2	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
784	1.0	0.7	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
848	1.0	0.7	1.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
912	1.0	0.7	1.2	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
976	1.0	1.0	0.8	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
1040	1.0	1.0	1.0	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
1104	1.0	1.0	1.2	0.0	0.0	0.0	False	0.5	1.0	0.99	0.6769066452980042	1.030332013964653	1.368785336613655
12	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
76	0.0	0.7	1.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
140	0.0	0.7	1.2	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
204	0.0	1.0	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
268	0.0	1.0	1.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
332	0.0	1.0	1.2	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
396	0.5	0.7	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
460	0.5	0.7	1.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
524	0.5	0.7	1.2	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
588	0.5	1.0	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
652	0.5	1.0	1.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
716	0.5	1.0	1.2	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
780	1.0	0.7	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
844	1.0	0.7	1.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
908	1.0	0.7	1.2	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
972	1.0	1.0	0.8	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
1036	1.0	1.0	1.0	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
1100	1.0	1.0	1.2	0.0	0.0	0.0	False	0.5	0.5	0.99	0.677580937743187	1.030342385172844	1.3691328540444374
8	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
72	0.0	0.7	1.0	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
136	0.0	0.7	1.2	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
200	0.0	1.0	0.8	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
264	0.0	1.0	1.0	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
328	0.0	1.0	1.2	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
392	0.5	0.7	0.8	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
456	0.5	0.7	1.0	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
520	0.5	0.7	1.2	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
584	0.5	1.0	0.8	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
648	0.5	1.0	1.0	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
712	0.5	1.0	1.2	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
776	1.0	0.7	0.8	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
840	1.0	0.7	1.0	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
904	1.0	0.7	1.2	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
968	1.0	1.0	0.8	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
1032	1.0	1.0	1.0	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
1096	1.0	1.0	1.2	0.0	0.0	0.0	False	0.5	0.0	0.99	0.6786164790391922	1.0304099470376968	1.369718186557293
4	0.0	0.7	0.8	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
68	0.0	0.7	1.0	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
132	0.0	0.7	1.2	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
196	0.0	1.0	0.8	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
260	0.0	1.0	1.0	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
324	0.0	1.0	1.2	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
388	0.5	0.7	0.8	0.0	0.0	0.0	False	0.5	-0.5	0.99	0.6799385100603104	1.0303892195224762	1.3703584745526314
