dataset	thr_drop	thr_bio	p_zero	p_nz	keep_positive	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.82	0.18000000000000005	0.1	0.3	True	0.612887978553772	0.7497404217720032	1.4495608806610107	0.3812810480594635	92300	36914	7279	48107	44193	14645
dataset_3_types_unequal	0.82	0.18000000000000005	0.1	0.3	True	0.6144372820854187	0.7834071516990662	1.532802700996399	0.36845138669013977	92600	33394	7662	51544	41056	14307
dataset_4_types_rare	0.82	0.18000000000000005	0.1	0.3	True	0.6792387366294861	0.8270006775856018	1.0666134357452393	0.373225599527359	93200	50349	8182	34669	58531	18461
dataset_multibatch_dropout	0.82	0.18000000000000005	0.1	0.3	True	0.580136239528656	0.6959522366523743	0.8615256547927856	0.33248844742774963	291600	145828	36313	109459	182141	67010
