dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.5655581951141357	1.3892520666122437	0.07493312656879425	0.007747984025627375	92300	36914	7279	48107	44193	10632
dataset_3_types_unequal	0.5918959975242615	1.6186870336532593	0.08905848115682602	0.0014118053950369358	92600	33394	7662	51544	41056	11611
dataset_4_types_rare	0.7236547470092773	1.302190899848938	0.08936018496751785	0.03315557539463043	93200	50349	8182	34669	58531	13765
dataset_multibatch_dropout	0.6899880170822144	1.3468989133834839	0.07634739577770233	0.018385929986834526	291600	145828	36313	109459	182141	54934
AVG	0.6427742391824722		0.08242479711771011							
