dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.5608160495758057	1.376610517501831	0.07891075313091278	0.007747984025627375	92300	36914	7279	48107	44193	10632
dataset_3_types_unequal	0.5875658392906189	1.6058436632156372	0.09270172566175461	0.0014118053950369358	92600	33394	7662	51544	41056	11611
dataset_4_types_rare	0.7203850746154785	1.295736312866211	0.0918346419930458	0.03315557539463043	93200	50349	8182	34669	58531	13765
dataset_multibatch_dropout	0.6860305070877075	1.3384640216827393	0.07844265550374985	0.018385929986834526	291600	145828	36313	109459	182141	54934
AVG	0.6386993676424026		0.08547244407236576							
