dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.8276122048644794	1.5922181159750384	0.10952101575002086	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	0.5410995270246091	1.3830074651306112	0.20391693756506024	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	0.9605654834631798	1.6274702848132796	0.08852841283948881	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	0.6619015231326274	1.4172137605428055	0.14124750644153547	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	0.7477946846212239		0.13580346814902636					
