dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	4.369922637939453	0.0018282682577945666	6.195863389968872	0.002476113687336076	0.045773054286837575	7.83774225802189e-05	3.5970081806182863	0.0018112454809965665	1.434073471307056	0.30768349247200394	10	5455000	2708148	794605	1952247	
dataset_3_types_unequal	4.083913564682007	0.0012018592523006238	5.584813499450684	0.0017405042656034896	0.054157127439975736	8.42946654205587e-05	3.709851884841919	0.0010984065364511215	1.3177862689946778	0.2052854438092036	10	5445000	2620323	786783	2037894	
dataset_4_types_rare	4.454823637008667	0.001580320659539292	5.965443897247314	0.0019936057825482504	0.05518282279372215	7.497842883605552e-05	4.168625688552856	0.0017355992083230918	1.3404294157924597	0.2586159672989445	10	5470000	2727398	810789	1931813	
dataset_multibatch_dropout	3.931825375556946	0.0015352177338120812	5.262060594558716	0.001967475500044065	0.03750782832503319	0.00010819212242961698	3.7744083642959594	0.0016915149956704871	1.2881656139041298	0.17867569612938272	10	5470000	2605049	806639	2058312	
