config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	zero_iso_weight	dropout_iso_weight	constrained_zero_scale	p_bio_temp	p_bio_bias	thr_drop	p_bio_nz_scale	post_log_quantile	proxy_calib_shrink	avg_rmse	avg_bz_rmse	score
32	0.0	0.7	1.0	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.1413607597351074	0.05954647623002529	1.130226856097579
26	0.0	0.7	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.1019659638404846	0.08028768002986908	1.1312706619501114
44	0.0	0.7	1.0	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	1.9908159971237183	0.13652979210019112	1.1319377906620502
8	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.1591755151748657	0.054312736727297306	1.1339004943147302
2	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.1195493936538696	0.07562096789479256	1.1353956647217274
20	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	2.007562905550003	0.13231460191309452	1.136096054688096
80	0.0	1.0	1.0	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.159272015094757	0.056640803813934326	1.1362768113613129
74	0.0	1.0	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.119614601135254	0.07759324554353952	1.1374005461111665
92	0.0	1.0	1.0	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	2.0080485343933105	0.1338001061230898	1.137824373319745
56	0.0	1.0	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.175763726234436	0.05196934472769499	1.139851207844913
50	0.0	1.0	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.135933518409729	0.07345241960138083	1.1414191788062453
68	0.0	1.0	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	2.0236702859401703	0.13004197925329208	1.1418771222233772
38	0.0	0.7	1.0	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.9647837281227112	0.16339732706546783	1.1457891911268234
14	0.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.981459140777588	0.15906754322350025	1.1497971136122942
86	0.0	1.0	1.0	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.982044517993927	0.16062582097947598	1.1516480799764395
62	0.0	1.0	0.8	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.997611552476883	0.15674487501382828	1.1555506512522697
116	1.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	1.9212776720523834	0.21394464746117592	1.1745834834873676
164	1.0	1.0	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	1.9419332444667816	0.20778575912117958	1.1787523813545704
104	1.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.069579601287842	0.15078387781977654	1.1855736784636974
140	1.0	0.7	1.0	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	1.8950163125991821	0.2412576973438263	1.1887658536434174
110	1.0	0.7	0.8	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.8952933251857758	0.24270230531692505	1.190348967909813
98	1.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.0290926694869995	0.17583412304520607	1.1903804577887058
31	0.0	0.7	1.0	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.3	2.2205848693847656	0.08025026880204678	1.1905427034944296
152	1.0	1.0	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.091482639312744	0.14483447931706905	1.1905757989734411
188	1.0	1.0	1.0	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.6	1.9165522754192352	0.2341725192964077	1.1924486570060253
25	0.0	0.7	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.3	2.1988670229911804	0.09317510947585106	1.1926086209714413
158	1.0	1.0	0.8	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.9158955812454224	0.23648763447999954	1.1944354251027107
146	1.0	1.0	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.050630122423172	0.1697479598224163	1.1950630210340023
7	0.0	0.7	0.8	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.3	2.2574008107185364	0.06884085666388273	1.197541262023151
43	0.0	0.7	1.0	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.3	2.1424630284309387	0.126554561778903	1.1977860759943724
128	1.0	0.7	1.0	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.0414913296699524	0.1786002777516842	1.1993459425866604
1	0.0	0.7	0.8	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.3	2.235832393169403	0.08198346477001905	1.1998996613547206
176	1.0	1.0	1.0	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.6	2.064570724964142	0.17181001976132393	1.2040953822433949
79	0.0	1.0	1.0	0.0	0.0	False	1.0	1.0	0.99	0.0	0.0	0.3	2.261529564857483	0.07442655693739653	1.205191339366138
134	1.0	0.7	1.0	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.8692114353179932	0.2709493078291416	1.2055550254881382
19	0.0	0.7	0.8	0.0	0.0	False	1.5	1.0	0.99	0.0	0.0	0.3	2.1792550086975098	0.116372250020504	1.2059997543692589
122	1.0	0.7	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.001220017671585	0.20585572347044945	1.206465732306242
73	0.0	1.0	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.3	2.2398866415023804	0.08750762231647968	1.2074509430676699
182	1.0	1.0	1.0	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.6	1.8906587362289429	0.2638040967285633	1.2091334648430347
37	0.0	0.7	1.0	0.0	0.0	False	1.5	0.5	0.99	0.0	0.0	0.3	2.129613995552063	0.14509901776909828	1.2099060155451298
170	1.0	1.0	1.0	0.0	0.0	False	1.0	0.5	0.99	0.0	0.0	0.6	2.023849308490753	0.1988946534693241	1.2108193077147007
