dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.620550274848938	0.9626191258430481	0.18122568726539612	0.15109336376190186	92300	36914	7279	48107
dataset_3_types_unequal	0.583164632320404	0.9495083689689636	0.18541114032268524	0.1474866420030594	92600	33394	7662	51544
dataset_4_types_rare	0.9274533987045288	1.2504665851593018	0.21287967264652252	0.17551258206367493	93200	50349	8182	34669
dataset_multibatch_dropout	0.6846590042114258	0.9563738703727722	0.1387641280889511	0.15438269078731537	291600	145828	36313	109459
AVG	0.7039568275213242		0.17957015708088875					
