rank	run_id	ok	score	avg_mse	avg_bz_mse	runtime_sec	elapsed_wall_sec	gpu	epochs	lr	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	bio_reg_weight	hidden	bottleneck	batch_size	weight_decay	activation	dropout	layer_norm	residual	WARMUP_REFINEMENT_FRACTION	POSTHOC_ZERO_SHRINK_SCALE	REFINED_PBIO_TRAIN_SCALE	simplicity_penalty	local_distance	error
24	r1c_001	True	0.1437737745	0.2007087068	0.0434194211	284.056	306.036	1	420	0.0002	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
53	r1c_005	True	0.1446209031	0.1968961817	0.0461728123	294.690	318.031	5	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.05	1.0	0.096000	2.000000	
43	r1c_003	True	0.1444243716	0.2011082000	0.0438702715	295.929	321.039	3	420	0.00025	0.004	0.55	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
89	r1c_006	True	0.1475614733	0.2096065443	0.0427582012	290.159	312.033	0	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.128000	2.000000	
39	r1c_007	True	0.1443438196	0.2020415950	0.0433230221	282.915	303.035	4	420	0.00025	0.005	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
87	r1c_009	True	0.1467025905	0.1879918369	0.0527066720	288.703	309.032	1	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
77	r1c_010	True	0.1456469458	0.2082044333	0.0415447291	282.818	303.032	5	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
83	r1c_011	True	0.1462318336	0.2179344606	0.0372646033	286.285	306.032	3	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.3	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
65	r1c_008	True	0.1450358073	0.2019993732	0.0440361207	325.029	345.049	2	480	0.00025	0.004	0.55	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
28	r1c_013	True	0.1441260522	0.2004198868	0.0439161088	243.135	261.029	4	360	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
62	r1c_012	True	0.1449696500	0.2028265389	0.0435563806	283.382	306.042	0	420	0.0003	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
63	r1c_014	True	0.1449966310	0.2012196676	0.0443867972	288.211	309.038	1	420	0.0003	0.003	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
68	r1c_015	True	0.1452103144	0.2029267263	0.0437469513	285.166	306.044	5	420	0.0003	0.004	0.6	0.02	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
14	r1c_016	True	0.1424996707	0.1951880650	0.0449056382	283.070	303.044	3	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	16	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.080000	2.000000	
67	r1c_017	True	0.1451465103	0.1979803535	0.0461563336	292.193	312.042	2	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.05	1.0	0.096000	2.000000	
92	r1c_018	True	0.1486414356	0.2118870008	0.0426979352	282.888	306.037	4	420	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[96]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.128000	2.000000	
64	r1c_019	True	0.1450070209	0.2034565692	0.0432787363	288.279	306.040	0	420	0.0003	0.005	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
78	r1c_021	True	0.1457229145	0.1869581548	0.0522438371	283.094	303.030	5	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
58	r1c_022	True	0.1448274603	0.2073430258	0.0411559474	291.163	312.028	3	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
72	r1c_023	True	0.1453114626	0.2172066420	0.0367081416	286.073	306.025	2	420	0.0002	0.004	0.6	0.04	2.0	1.0	0.3	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
74	r1c_020	True	0.1456324802	0.2032540773	0.0440054416	328.013	351.039	1	480	0.0003	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
41	r1c_024	True	0.1443701008	0.2020917351	0.0433242332	283.607	306.020	4	420	0.0002	0.004	0.6	0.06	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
79	r1c_025	True	0.1458361805	0.1921278353	0.0497722629	282.785	303.016	0	420	0.00025	0.004	0.6	0.04	2.0	1.0	0.2	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.15	1.0	0.096000	2.000000	
23	r2_003	True	0.1437334031	0.2000130530	0.0437268767	248.166	273.015	3	360	0.00025	0.004	0.6	0.04	2.0	1.0	0.25	[64]	32	32	1e-05	relu	0.05	False	False	0.0	0.1	1.0	0.096000	1.000000	
82	r2_005	True	0.1462132544	0.1866752987	0.0528756051	284.655	309.016	5	420	0.00025	0.004	0.55	0.04	2.0	1.0	0.2	[64]	32	32	0.0	relu	0.05	False	False	0.0	0.1	1.0	0.096000	2.000000	
