dataset	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	1.5598340051719395	3.0484020579605273	0.01393760855964436	2.0553123558756267e-14	1066000	544846	134412	386742
dataset_3_types_unequal	1.1173271476451971	2.99364527251008	0.026824868717133604	1.892849314781029e-14	1070000	398112	139197	532691
dataset_4_types_rare	1.7768376821152136	3.0426467474746897	0.011331196693270054	2.1436909153752937e-14	1060000	618530	130582	310888
dataset_multibatch_dropout	1.3582119159485844	2.9880712793356117	0.014622637143099578	1.9615210275429047e-14	1072000	486580	141387	444033
AVG	1.4530526877202337		0.0166790777782869					
