config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	avg_rmse	avg_bz_rmse	score
3	0.0	0.7	1.2	2.3346007466316223	0.11319117806851864	1.2804915513843298
2	0.0	0.7	1.0	2.3798800706863403	0.09855895303189754	1.2884989883750677
1	0.0	0.7	0.8	2.4336089491844177	0.0815659211948514	1.2983703957870603
6	0.0	1.0	1.2	2.400043308734894	0.10503561235964298	1.3050572667270899
5	0.0	1.0	1.0	2.4444228410720825	0.09031276870518923	1.3125241892412305
4	0.0	1.0	0.8	2.495573401451111	0.07437789067626	1.3221645914018154
9	0.0	1.3	1.2	2.4643380641937256	0.09673367999494076	1.3289027120918036
8	0.0	1.3	1.0	2.505958318710327	0.08268132619559765	1.3356604855507612
10	0.5	0.7	0.8	2.323027551174164	0.180872505530715	1.342386281117797
7	0.0	1.3	0.8	2.5529547333717346	0.06782425940036774	1.344301626086235
12	0.5	0.7	1.2	2.211828112602234	0.23844172433018684	1.3443557806313038
11	0.5	0.7	1.0	2.261563718318939	0.21392754465341568	1.3447094038128853
13	0.5	1.0	0.8	2.390992224216461	0.17043615132570267	1.3659322634339333
14	0.5	1.0	1.0	2.3307770490646362	0.20252659544348717	1.3679151199758053
15	0.5	1.0	1.2	2.280208945274353	0.22943516075611115	1.3695396333932877
19	1.0	0.7	0.8	2.2429100275039673	0.2588224411010742	1.3802774548530579
16	0.5	1.3	0.8	2.4555763006210327	0.16042378544807434	1.3882119357585907
20	1.0	0.7	1.0	2.180406630039215	0.2991836331784725	1.38938694819808
17	0.5	1.3	1.0	2.398628354072571	0.1913549341261387	1.390669111162424
18	0.5	1.3	1.2	2.349670648574829	0.2185319922864437	1.3933673165738583
21	1.0	0.7	1.2	2.1315470933914185	0.32838044688105583	1.394153993576765
22	1.0	1.0	0.8	2.3131170868873596	0.24644319713115692	1.4030017405748367
23	1.0	1.0	1.0	2.2502904534339905	0.2860468626022339	1.4111920893192291
24	1.0	1.0	1.2	2.1991173028945923	0.31863095611333847	1.4181896075606346
25	1.0	1.3	0.8	2.3813146352767944	0.23425162211060524	1.4249089397490025
26	1.0	1.3	1.0	2.3204970359802246	0.2728535234928131	1.4331020414829254
27	1.0	1.3	1.2	2.2696837782859802	0.3059941455721855	1.4408360347151756
