dataset	iter	score	ARI	NMI	PS	ASW	hidden	bottleneck	batch_size	lr	epochs	p_zero	p_nz	noise_max	loss_bio_weight	loss_nz_weight	weight_decay
blakeley_top1000markers	0	2.9163	0.4452	0.6688	0.8	0.5571	[64]	32	32	0.0001	300	0.01	0.3	0.2	2.0	1.0	0.0
blakeley_top1000markers	1	4.677	1.0	1.0	1.0	0.677	[64]	64	32	0.0005	200	0.05	0.2	0.3	1.0	0.5	0.0001
blakeley_top1000markers	2	4.2905	1.0	1.0	1.0	0.2905	[128, 64]	64	64	0.001	300	0.01	0.2	0.3	2.0	1.0	0.0
blakeley_top1000markers	3	4.6703	1.0	1.0	1.0	0.6703	[64]	64	64	0.0005	200	0.05	0.3	0.2	2.0	0.5	0.0
blakeley_top1000markers	4	4.2743	1.0	1.0	1.0	0.2743	[128]	64	16	0.001	300	0.0	0.3	0.1	4.0	2.0	0.0
blakeley_top1000markers	5	4.3474	1.0	1.0	1.0	0.3474	[64]	64	32	0.001	300	0.05	0.4	0.1	2.0	1.0	0.0
blakeley_top1000markers	6	4.3716	1.0	1.0	1.0	0.3716	[64]	32	16	0.001	300	0.05	0.4	0.2	4.0	1.0	0.0
blakeley_top1000markers	7	4.3611	1.0	1.0	1.0	0.3611	[128, 64]	32	16	0.0005	300	0.0	0.3	0.1	4.0	1.0	0.0
blakeley_top1000markers	8	4.5112	1.0	1.0	1.0	0.5112	[64]	32	64	0.001	200	0.0	0.4	0.2	4.0	0.5	0.0
blakeley_top1000markers	9	4.2814	1.0	1.0	1.0	0.2814	[128, 64]	64	32	0.001	300	0.01	0.4	0.1	1.0	2.0	0.0001
blakeley_top1000markers	10	4.4774	1.0	1.0	1.0	0.4774	[64]	64	16	0.001	200	0.05	0.4	0.3	2.0	1.0	0.0001
blakeley_top1000markers	11	4.5861	1.0	1.0	1.0	0.5861	[64]	64	32	0.0005	300	0.01	0.2	0.1	1.0	0.5	0.0
blakeley_top1000markers	12	4.2826	1.0	1.0	1.0	0.2826	[128, 64]	32	32	0.001	300	0.0	0.4	0.2	2.0	1.0	0.0001
blakeley_top1000markers	13	2.9169	0.4452	0.6688	0.8	0.5577	[64]	32	64	0.0001	300	0.0	0.3	0.2	4.0	0.5	0.0
blakeley_top1000markers	14	4.691	1.0	1.0	1.0	0.691	[128]	64	64	0.0001	200	0.05	0.2	0.3	1.0	2.0	0.0
blakeley_top1000markers	15	4.3486	1.0	1.0	1.0	0.3486	[128]	32	16	0.0005	300	0.05	0.4	0.2	2.0	1.0	0.0
blakeley_top1000markers	16	4.5801	1.0	1.0	1.0	0.5801	[128, 64]	16	16	0.0005	200	0.0	0.2	0.3	4.0	2.0	0.0
blakeley_top1000markers	17	4.4068	1.0	1.0	1.0	0.4068	[128, 64]	16	64	0.0005	300	0.0	0.3	0.3	2.0	1.0	0.0
blakeley_top1000markers	18	4.3357	1.0	1.0	1.0	0.3357	[128]	16	16	0.001	300	0.01	0.3	0.3	1.0	1.0	0.0
blakeley_top1000markers	19	4.2979	1.0	1.0	1.0	0.2979	[128]	64	32	0.001	200	0.05	0.3	0.1	4.0	2.0	0.0
blakeley_top1000markers	20	4.4335	1.0	1.0	1.0	0.4335	[128, 64]	16	64	0.001	200	0.05	0.2	0.1	1.0	1.0	0.0001
blakeley_top1000markers	21	2.9052	0.4452	0.6688	0.8	0.546	[64]	32	64	0.0001	300	0.0	0.4	0.2	2.0	0.5	0.0
blakeley_top1000markers	22	4.4187	1.0	1.0	1.0	0.4187	[128, 64]	16	64	0.0005	300	0.01	0.3	0.1	2.0	0.5	0.0001
blakeley_top1000markers	23	2.9032	0.4452	0.6688	0.8	0.544	[64]	32	32	0.0001	300	0.01	0.4	0.1	1.0	1.0	0.0
blakeley_top1000markers	24	4.5296	1.0	1.0	1.0	0.5296	[64]	32	16	0.001	200	0.0	0.3	0.3	1.0	0.5	0.0001
blakeley_top1000markers	25	4.3897	1.0	1.0	1.0	0.3897	[128, 64]	32	32	0.0005	300	0.01	0.2	0.1	1.0	2.0	0.0
blakeley_top1000markers	26	4.6937999999999995	1.0	1.0	1.0	0.6938	[128]	32	64	0.0001	200	0.0	0.3	0.3	2.0	1.0	0.0001
blakeley_top1000markers	27	4.5767	1.0	1.0	1.0	0.5767	[64]	32	32	0.0005	300	0.0	0.4	0.1	2.0	1.0	0.0001
blakeley_top1000markers	28	4.4521	1.0	1.0	1.0	0.4521	[128]	16	16	0.0005	300	0.0	0.4	0.2	1.0	0.5	0.0001
blakeley_top1000markers	29	4.6259	1.0	1.0	1.0	0.6259	[64]	16	32	0.001	200	0.0	0.2	0.2	4.0	2.0	0.0001
blakeley_top1000markers	30	4.4575	1.0	1.0	1.0	0.4575	[128, 64]	16	16	0.0005	300	0.05	0.2	0.1	1.0	0.5	0.0001
blakeley_top1000markers	31	4.3268	1.0	1.0	1.0	0.3268	[128]	32	16	0.001	200	0.05	0.4	0.1	1.0	2.0	0.0001
blakeley_top1000markers	32	4.5073	1.0	1.0	1.0	0.5073	[64]	32	32	0.001	200	0.05	0.4	0.1	1.0	1.0	0.0
blakeley_top1000markers	33	4.5464	1.0	1.0	1.0	0.5464	[64]	32	64	0.001	200	0.05	0.2	0.3	4.0	2.0	0.0
blakeley_top1000markers	34	4.536	1.0	1.0	1.0	0.536	[128, 64]	16	32	0.0005	200	0.0	0.4	0.2	2.0	1.0	0.0
blakeley_top1000markers	35	4.4322	1.0	1.0	1.0	0.4322	[128, 64]	16	64	0.001	200	0.0	0.2	0.3	4.0	0.5	0.0
blakeley_top1000markers	36	4.641	1.0	1.0	1.0	0.641	[64]	16	64	0.001	200	0.05	0.2	0.2	2.0	2.0	0.0001
blakeley_top1000markers	37	2.9856	0.4395	0.6675	0.8	0.6391	[64]	16	16	0.0001	300	0.05	0.2	0.3	2.0	1.0	0.0
blakeley_top1000markers	38	2.8907	0.4452	0.6688	0.8	0.5315	[64]	64	16	0.0001	200	0.0	0.2	0.1	4.0	2.0	0.0
blakeley_top1000markers	39	4.3795	1.0	1.0	1.0	0.3795	[64]	32	64	0.001	300	0.01	0.3	0.1	4.0	2.0	0.0
blakeley_top1000markers	40	4.4482	1.0	1.0	1.0	0.4482	[128, 64]	16	64	0.001	200	0.01	0.2	0.2	4.0	0.5	0.0
blakeley_top1000markers	41	4.4656	1.0	1.0	1.0	0.4656	[128, 64]	16	16	0.0005	300	0.01	0.2	0.3	2.0	0.5	0.0001
blakeley_top1000markers	42	4.3611	1.0	1.0	1.0	0.3611	[128, 64]	32	16	0.0005	300	0.0	0.3	0.3	1.0	2.0	0.0
blakeley_top1000markers	43	4.3743	1.0	1.0	1.0	0.3743	[128, 64]	32	16	0.001	200	0.01	0.2	0.3	4.0	2.0	0.0
blakeley_top1000markers	44	4.3571	1.0	1.0	1.0	0.3571	[128]	32	64	0.001	200	0.01	0.2	0.1	4.0	0.5	0.0001
blakeley_top1000markers	45	4.4548	1.0	1.0	1.0	0.4548	[128]	16	32	0.0005	300	0.01	0.4	0.3	4.0	1.0	0.0
blakeley_top1000markers	46	4.4281	1.0	1.0	1.0	0.4281	[128]	16	32	0.001	200	0.0	0.3	0.3	4.0	0.5	0.0
blakeley_top1000markers	47	4.7556	1.0	1.0	1.0	0.7556	[128]	16	16	0.0001	300	0.05	0.4	0.3	4.0	0.5	0.0001
blakeley_top1000markers	48	4.6975999999999996	1.0	1.0	1.0	0.6976	[64]	32	32	0.0005	200	0.0	0.4	0.1	1.0	2.0	0.0
blakeley_top1000markers	49	2.9059999999999997	0.4452	0.6688	0.8	0.5468	[128, 64]	64	32	0.0001	200	0.0	0.3	0.1	2.0	0.5	0.0001
blakeley_top1000markers	50	2.8971999999999998	0.4452	0.6688	0.8	0.538	[64]	64	16	0.0001	200	0.05	0.2	0.2	2.0	1.0	0.0001
darmanis_top1000markers	0	4.2725	0.9279	0.8989	0.9524	0.5654	[64]	32	32	0.0001	300	0.01	0.3	0.2	2.0	1.0	0.0
darmanis_top1000markers	1	4.2509999999999994	0.928	0.893	0.95	0.552	[128, 64]	32	64	0.0001	300	0.01	0.4	0.3	4.0	2.0	0.0001
darmanis_top1000markers	2	3.6706999999999996	0.8034	0.8159	0.8976	0.3504	[64]	32	16	0.001	200	0.0	0.2	0.2	2.0	2.0	0.0
darmanis_top1000markers	3	4.1979	0.941	0.9079	0.9595	0.4485	[64]	16	16	0.0005	300	0.01	0.4	0.1	1.0	2.0	0.0
darmanis_top1000markers	4	4.2196	0.9315	0.9036	0.9571	0.4959	[64]	32	64	0.001	200	0.05	0.4	0.3	4.0	0.5	0.0001
darmanis_top1000markers	5	3.725	0.834	0.8342	0.9	0.3228	[64]	64	32	0.001	300	0.01	0.3	0.3	4.0	0.5	0.0001
darmanis_top1000markers	6	3.5582	0.7613	0.8238	0.9143	0.2975	[128]	16	32	0.001	300	0.05	0.3	0.3	2.0	2.0	0.0001
darmanis_top1000markers	7	4.0216	0.8658	0.8463	0.9119	0.5318	[64]	16	16	0.0001	200	0.01	0.2	0.2	2.0	0.5	0.0
darmanis_top1000markers	8	3.3522	0.6987	0.8052	0.8786	0.271	[128]	32	32	0.001	200	0.01	0.3	0.1	4.0	0.5	0.0
darmanis_top1000markers	9	3.8438999999999997	0.8648	0.8722	0.9143	0.3278	[128, 64]	64	64	0.001	300	0.01	0.4	0.1	2.0	1.0	0.0001
darmanis_top1000markers	10	3.7293	0.776	0.8334	0.9214	0.4225	[128, 64]	32	32	0.0001	300	0.01	0.3	0.3	2.0	0.5	0.0
darmanis_top1000markers	11	4.286300000000001	0.9382	0.914	0.9595	0.5364	[64]	64	16	0.0001	300	0.05	0.3	0.3	4.0	0.5	0.0001
darmanis_top1000markers	12	3.8190999999999997	0.86	0.8599	0.9095	0.3297	[128]	32	16	0.0005	300	0.01	0.2	0.2	4.0	2.0	0.0
darmanis_top1000markers	13	4.0854	0.9338	0.8979	0.9548	0.3651	[128, 64]	64	16	0.001	200	0.01	0.3	0.3	4.0	2.0	0.0001
darmanis_top1000markers	14	4.088	0.9376	0.9011	0.9548	0.3569	[128, 64]	16	16	0.001	300	0.0	0.2	0.2	2.0	0.5	0.0
darmanis_top1000markers	15	4.183	0.9358	0.9076	0.9595	0.4443	[64]	32	16	0.0005	200	0.01	0.4	0.2	4.0	2.0	0.0001
darmanis_top1000markers	16	4.0403	0.878	0.8732	0.9214	0.4897	[128, 64]	32	32	0.0001	300	0.0	0.4	0.3	1.0	2.0	0.0
darmanis_top1000markers	17	3.8371	0.8543	0.8581	0.9095	0.3609	[128, 64]	16	32	0.0005	300	0.01	0.4	0.3	1.0	2.0	0.0001
darmanis_top1000markers	18	3.5557000000000003	0.773	0.8262	0.9143	0.2692	[128]	64	64	0.001	300	0.01	0.2	0.3	2.0	1.0	0.0
darmanis_top1000markers	19	3.6912	0.7423	0.8089	0.9024	0.4953	[64]	16	64	0.0001	200	0.05	0.3	0.2	4.0	1.0	0.0
darmanis_top1000markers	20	3.8191	0.8574	0.8633	0.9095	0.3315	[128, 64]	16	32	0.001	300	0.01	0.4	0.2	2.0	0.5	0.0
darmanis_top1000markers	21	3.7839	0.8557	0.8591	0.9071	0.3063	[128]	64	16	0.001	300	0.05	0.3	0.1	1.0	2.0	0.0001
darmanis_top1000markers	22	3.6342	0.8023	0.8194	0.9	0.3102	[128]	16	16	0.0005	300	0.0	0.4	0.2	1.0	0.5	0.0
darmanis_top1000markers	23	4.0724	0.8838	0.8836	0.9262	0.495	[128, 64]	64	32	0.0001	300	0.01	0.2	0.2	1.0	0.5	0.0001
