dataset	transform	seed	runtime_sec	mse	mse_dropout	mse_biozero	mae	gnrmse	ari_grid_mean	nmi_grid_mean	ari_grid_max	nmi_grid_max	ari_matched_mean	nmi_matched_mean	n_clusters_matched_mean
batch_effects_moderate_drop	raw	42	141.92115664179437	0.32408221747466787	0.4555746902256851	0.00688106441649496	0.42124585772291595	1.287841100158832	0.3971463379980248	0.5797679559238946	0.5020784535813438	0.6478676788762169	0.4833791561717568	0.6311471135833955	7.0
batch_effects_moderate_drop_group	raw	42	142.9199250501115	0.30376830760215784	0.44437618339520446	0.005791729438001308	0.4029302489830769	1.2671234905524085	0.3999784060730061	0.5886975672019704	0.5183176472882247	0.6547993464322127	0.51729182707445	0.6532586907397425	6.0
groups_balanced_moderate_drop	raw	42	142.78958457987756	0.2933031321397575	0.40506974516126604	0.005868857306907841	0.4051460790911001	1.2862329337002067	0.7414001357453077	0.8174109357641173	0.9832840786922368	0.9675652959912935	0.9826968032684352	0.9659690031122405	3.0
groups_balanced_moderate_drop_group	raw	42	142.86536992294714	0.271930704272001	0.3801959181479994	0.005719846762109179	0.387565423394655	1.2681268312723315	0.7670470420652608	0.8147427103118485	0.9604616710343304	0.9306447761916733	0.956951795446683	0.9256502315883998	3.0
groups_balanced_nodrop	raw	42	142.9017425349448	0.14886827684606524	nan	0.027567427891267877	0.2874759639087324	0.9921624166005018	0.8617010252653159	0.9211761653193441	1.0	1.0	1.0	1.0	3.0
groups_imbalanced_moderate_drop	raw	42	145.007124600932	0.28458797539153585	0.4025366216742161	0.005124747062509938	0.3980245098429418	1.2781754871352213	0.5905506085033875	0.7213441422040902	0.9643578445013709	0.9250859911644568	0.9604570052210588	0.9183157240682014	3.0
groups_imbalanced_moderate_drop_group	raw	42	144.38918070006184	0.26353145576510656	0.3777522733469657	0.005932833117904962	0.38193198011237633	1.247590173230378	0.599447690731431	0.7298461265485897	0.9669533974518834	0.9326253006899594	0.9634097726261415	0.9274959615308911	3.0
groups_rare_high_drop	raw	42	143.015372939175	0.49880309905017817	0.6453333888210161	0.0022799989636796145	0.5464444703324751	1.6125220395171846	0.31349570801868526	0.3540161218030733	0.5306159697196089	0.4446550790760055	0.4275999685375182	0.4199533003692281	4.0
groups_rare_high_drop_group	raw	42	142.16227408195846	0.4530839451927735	0.6076471718882437	0.0019092961238547923	0.5123793239450293	1.5455802467233688	0.6423273211384539	0.7177840485733384	0.924777061515364	0.8582073112153661	0.6457169368433544	0.7308524615766261	4.0
paths_branching_moderate_drop	raw	42	144.42161995195784	0.29046473936422107	0.40719305332247274	0.007005674227815833	0.4027169863754466	1.2632173005133278	0.42407129400967847	0.5119009565719657	0.5301924199658967	0.5853691648970965	0.50633190624584	0.5606566272963327	5.0
paths_branching_moderate_drop_group	raw	42	143.5519032208249	0.27640817239265497	0.39741300623835	0.005183638229161378	0.39083730477706163	1.2434581442668589	0.4589546341604518	0.554577103064725	0.6308564482800024	0.6379510092908862	0.6308564482800024	0.6379510092908862	4.0
paths_linear_moderate_drop	raw	42	143.083691079868	0.2810748452598213	0.39420622131120403	0.005793956202376572	0.3935568377171294	1.240343329487239	0.3776243601135725	0.5104251510743792	0.5061590901745882	0.5936585319634005	0.5061590901745882	0.5732010193410639	5.0
paths_linear_moderate_drop_group	raw	42	143.95350217516534	0.27217791380833595	0.38022687638183844	0.006165425749640694	0.38538997781036277	1.2312488962873431	0.41530851019029424	0.5347452533123224	0.5759582665323133	0.6226462638655447	0.5086876550990612	0.5982804278625365	4.0
