dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	7.11103595657179	0	14.3328207684144	0	0	0	0	0	0.816000000000001	0	1	10950000	5432695	1528220	3989085	NA
dataset_3_types_unequal	6.89169439708501	0	14.4165880052962	0	0	0	0	0	0.877000000000002	0	1	10940000	5229749	1530688	4179563	NA
dataset_4_types_rare	7.7265982021375	0	15.5388557644554	0	0	0	0	0	0.789999999999999	0	1	10960000	5449791	1541869	3968340	NA
dataset_multibatch_dropout	6.95111536783709	0	14.6215580784268	0	0	0	0	0	0.803000000000001	0	1	10970000	5215158	1564255	4190587	NA
