dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	2.301849126815796	2.621061086654663	0.13792194426059723	2.211677074432373	92300	36914	7279	48107
dataset_3_types_unequal	2.251887321472168	2.5307135581970215	0.15146996080875397	2.2265305519104004	92600	33394	7662	51544
dataset_4_types_rare	2.440502166748047	2.8036997318267822	0.10057316720485687	2.143171548843384	93200	50349	8182	34669
dataset_multibatch_dropout	2.360595464706421	2.7773470878601074	0.07955485582351685	2.13688063621521	291600	145828	36313	109459
AVG	2.338708519935608		0.11737998202443123					
