dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	5.34053816411381	0.00128591461645677	10.8591285398191	0.00261766306947491	0.00616532380104554	1.64764113077529e-05	0.0037291427638563	5.59307196130308e-06	7125.5898	323.088493964425	5	54900000	26988533	8008607	19902860	NA
dataset_3_types_unequal	5.01355369443511	0.000497670616526546	10.5741874356658	0.00103894498543484	0.00876127800799081	2.34956370722519e-05	0.0043178942737132	6.24195439306296e-06	6813.0322	266.743033482976	5	54950000	26038329	8049409	20862262	NA
dataset_4_types_rare	5.68035366775124	0.000359514301723729	11.5216731911611	0.000734737057932192	0.0095356149977016	1.17951265637296e-06	0.00483856292366838	7.4531494840591e-06	7365.5898	126.799094762934	5	54900000	27051545	8006948	19841507	NA
dataset_multibatch_dropout	4.96372755455563	4.94746620603434e-05	10.5333207457652	9.43993580477539e-05	0.0104591540246812	2.12990373791681e-05	0.00489257273853331	4.97475600476586e-06	7691.3194	108.753293772194	5	54950000	25876914	8039380	21033706	NA
