dataset	mse	mse_std	mse_dropout	mse_dropout_std	mse_biozero	mse_biozero_std	mse_non_zero	mse_non_zero_std	runtime_sec	runtime_sec_std	n_repeats	n_total	n_dropout	n_biozero	n_non_zero	error
dataset_2_types_equal	5.36532223972332	1.69185926666837e-08	10.4931151083958	0	0.00584925823376292	6.6846747964985e-11	0.00391864007098307	4.66235146144869e-08	5.8005	1.47555588395244	10	1066000	544846	134412	386742	0 (non-NA) cases
dataset_3_types_unequal	2.56459903293049	8.51677640350162e-09	6.88128540562524	1.61499302494365e-08	0.0154747773459968	9.9771215473402e-10	0.0045892032137212	2.49348605986904e-08	6.3648	1.85213359249393	10	1070000	398112	139197	532691	0 (non-NA) cases
dataset_4_types_rare	7.09432520599588	3.08855391654745e-08	12.1548416525188	5.48149575155668e-09	0.00402927638809047	3.58350292639463e-09	0.00425992657764747	1.12759968858091e-07	5.7252	0.451861778275923	10	1060000	618530	130582	310888	0 (non-NA) cases
dataset_multibatch_dropout	4.2043234670111	1.96474889059557e-08	9.25574876385764	5.96303187646638e-09	0.00971251131710544	6.22293650362381e-10	0.00450259390733878	4.83641286995451e-08	5.8645	0.466712914375039	10	1072000	486580	141387	444033	0 (non-NA) cases
