dataset	ASW	ASW_std	ARI	ARI_std	NMI	NMI_std	PS	PS_std	runtime_sec	runtime_sec_std	n_repeats	n_cells	n_genes	label_source	error
blakeley_top1000markers	0.56932	0.05891202763443133	0.6648400000000001	0.3059666697534227	0.80076	0.18188117824557878	0.8800000000000001	0.1095445115010332	3.123867321014404	4.563256586210089	5	30	935	cell_type1	
darmanis_top1000markers	0.48614000000000007	0.0380846819600742	0.86936	0.0667962798365298	0.8610599999999999	0.03056857863885727	0.9243	0.02144854307406447	7.424778699874878	0.027321922012830353	5	420	1000	cell_type1	
deng_top1000markers	0.5104599999999999	0.018954366251605455	0.5542	0.010096038827183662	0.7827	0.002009975124224186	0.8507	0.0	5.28924789428711	0.008706194740255389	5	268	1000	cell_type1	
pollen_top1000markers	0.6852600000000001	0.006009825288641888	0.9429000000000001	0.0024279621084357834	0.9337	0.003803945320322055	0.9418000000000001	0.005044303718056637	5.3179771423339846	0.012905487241409825	5	299	1000	cell_type1	
usoskin_top1000markers	0.37288	0.01925505128531212	0.88314	0.02945119691964995	0.84398	0.02283203889274891	0.9360200000000001	0.016123182068065844	10.573766946792603	0.00866175933445092	5	622	1000	cell_type1	
