tag	variant	ok	score	avg_mse	avg_bz_mse	runtime_sec	elapsed_wall_sec	delta_score_vs_full	delta_mse_vs_full	delta_bz_mse_vs_full
bottleneck32	Wider bottleneck	True	0.13026558020367074	0.18590396069563353	0.03731359985585396	1193.4024418840127	1242.0551497936249	0.00072993596012777	0.0013911701165712775	3.435090184211731e-05
full	Full model	True	0.12953564424354297	0.18451279057906225	0.03727924895401184	1207.771437310992	1254.0682837963104	0.0	0.0	0.0
no_bioreg	No bio regularization	True	0.27285734621378094	0.17574841471818778	0.18498313885468703	1227.2785242940008	1275.0603430271149	0.14332170197023797	-0.008764375860874474	0.14770388990067518
no_noise	No input noise	True	0.1293718542617101	0.18442991032050207	0.037156899101459064	1220.892046914989	1263.0411570072174	-0.00016378998183286253	-8.288025856018066e-05	-0.00012234985255277914
no_posthoc	No posthoc shrink	True	0.13046580209181857	0.1783434783036892	0.04129406293997398	1240.5764134799829	1287.0642409324646	0.0009301578482756034	-0.00616931227537304	0.004014813985962137
no_refine	No recon refinement	True	0.3627839833498001	0.20398073242260858	0.2607936171384958	1141.470053853991	1191.0572397708893	0.23324833910625714	0.019467941843546333	0.22351436818448395
no_wdecay	No weight decay	True	0.130026081433663	0.18590401456906244	0.037074074149131775	1208.0061611920246	1254.053393125534	0.0004904371901200411	0.00139122399000019	-0.00020517480488006778
