config_id	proxy_mix	proxy_drop_gamma	proxy_drop_scale	proxy_blend	avg_rmse	avg_bz_rmse	score
19	0.0	1.3	0.8	0.0	0.7749304622411728	0.04135887511074543	0.4288241062313318
1	0.0	0.7	0.8	0.0	0.7635808885097504	0.04717559227719903	0.4289660365320742
10	0.0	1.0	0.8	0.0	0.7698529064655304	0.04410295933485031	0.4290294125676155
20	0.0	1.3	0.8	0.3	0.7731752842664719	0.04602175485342741	0.43260939698666334
2	0.0	0.7	0.8	0.3	0.7615917772054672	0.05192059185355902	0.43271648045629263
11	0.0	1.0	0.8	0.3	0.7679866254329681	0.048813730012625456	0.4328070427291095
21	0.0	1.3	0.8	0.6	0.7726297378540039	0.04661384643986821	0.43292871536687016
3	0.0	0.7	0.8	0.6	0.7610317021608353	0.052445787005126476	0.4329616380855441
12	0.0	1.0	0.8	0.6	0.7674276828765869	0.049375169444829226	0.4330890108831227
22	0.0	1.3	1.0	0.0	0.7682381272315979	0.05127937160432339	0.43539843522012234
13	0.0	1.0	1.0	0.0	0.7621628642082214	0.05467013316228986	0.4357515652664006
4	0.0	0.7	1.0	0.0	0.7547772973775864	0.05846012197434902	0.4358487706631422
7	0.0	0.7	1.2	0.0	0.7471133917570114	0.06662581488490105	0.44018251076340675
23	0.0	1.3	1.0	0.3	0.7658433318138123	0.05770883709192276	0.4406305029988289
24	0.0	1.3	1.0	0.6	0.7652123421430588	0.05835809279233217	0.44096426386386156
16	0.0	1.0	1.2	0.0	0.7551419287919998	0.06341554969549179	0.4409865140914917
14	0.0	1.0	1.0	0.3	0.7596136778593063	0.061190444976091385	0.44099728390574455
25	0.0	1.3	1.2	0.0	0.7619862407445908	0.06002222839742899	0.44101534876972437
5	0.0	0.7	1.0	0.3	0.7520572394132614	0.06506442837417126	0.44109304808080196
15	0.0	1.0	1.0	0.6	0.7589765638113022	0.06180370785295963	0.4412919897586107
6	0.0	0.7	1.0	0.6	0.751434713602066	0.0656347656622529	0.4413521224632859
8	0.0	0.7	1.2	0.3	0.7439936995506287	0.07368929777294397	0.4456861475482583
9	0.0	0.7	1.2	0.6	0.7433606386184692	0.07420043181627989	0.4458807511255145
17	0.0	1.0	1.2	0.3	0.7521013021469116	0.07079659216105938	0.4468472432345152
18	0.0	1.0	1.2	0.6	0.7514167428016663	0.07138822227716446	0.4470965936779976
26	0.0	1.3	1.2	0.3	0.7590548545122147	0.06765710096806288	0.4471845282241702
27	0.0	1.3	1.2	0.6	0.7583598792552948	0.06831475906074047	0.44749469868838787
46	0.5	1.3	0.8	0.0	0.758945882320404	0.09215483162552118	0.4716277727857232
37	0.5	1.0	0.8	0.0	0.7509967982769012	0.09900502860546112	0.47450342774391174
28	0.5	0.7	0.8	0.0	0.7414839118719101	0.10646327212452888	0.47720522806048393
49	0.5	1.3	1.0	0.0	0.750730574131012	0.10405770316720009	0.47942299023270607
40	0.5	1.0	1.0	0.0	0.7417301535606384	0.1114694457501173	0.4823345225304365
73	1.0	1.3	0.8	0.0	0.7511319667100906	0.10918162763118744	0.48474761098623276
31	0.5	0.7	1.0	0.0	0.7312325835227966	0.11973825842142105	0.48535455018281937
52	0.5	1.3	1.2	0.0	0.7434551119804382	0.11409380473196507	0.4858213607221842
43	0.5	1.0	1.2	0.0	0.7336895763874054	0.12218543887138367	0.48903022706508636
64	1.0	1.0	0.8	0.0	0.7413239628076553	0.1185927577316761	0.48925473913550377
34	0.5	0.7	1.2	0.0	0.7226837873458862	0.13120168820023537	0.4925435818731785
76	1.0	1.3	1.0	0.0	0.74261274933815	0.12129013240337372	0.49259650707244873
55	1.0	0.7	0.8	0.0	0.7299223393201828	0.1290976218879223	0.4940587915480137
