dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.2832815557241383	0.43013001052821453	0.14069290583763303	0.09490746991591313	92300	36914	7279	48107
dataset_3_types_unequal	0.28111364521506016	0.4475730114195108	0.1435292593035565	0.09552317338396023	92600	33394	7662	51544
dataset_4_types_rare	0.360601508527465	0.4799881296891427	0.1607393139101655	0.09423702713571816	93200	50349	8182	34669
dataset_multibatch_dropout	0.3180590426793005	0.4386476552956548	0.11693907320216465	0.09282322628359344	291600	145828	36313	109459
AVG	0.310763938036491		0.1404751380633799					
