dataset	thr_drop	thr_bio	p_zero	p_nz	keep_positive	mse	mse_dropout	mse_biozero	mse_non_zero	n_total	n_dropout	n_biozero	n_non_zero	n_obs_zero	n_pred_bio
dataset_2_types_equal	0.82	0.18000000000000005	0.09999999999999999	0.3	True	0.6137021780014038	0.7568380832672119	1.4389704465866089	0.37899941205978394	92300	36914	7279	48107	44193	14645
dataset_3_types_unequal	0.82	0.18000000000000005	0.09999999999999999	0.3	True	0.5839647054672241	0.7676721215248108	1.5014357566833496	0.32856377959251404	92600	33394	7662	51544	41056	14307
dataset_4_types_rare	0.82	0.18000000000000005	0.09999999999999999	0.3	True	0.665038526058197	0.8122507929801941	1.0559959411621094	0.3589780926704407	93200	50349	8182	34669	58531	18461
dataset_multibatch_dropout	0.82	0.18000000000000005	0.09999999999999999	0.3	True	0.5998019576072693	0.7241881489753723	0.8649365305900574	0.346128910779953	291600	145828	36313	109459	182141	67010
