dataset	rmse	rmse_dropout	rmse_biozero	rmse_non_zero	n_total	n_dropout	n_biozero	n_non_zero
dataset_2_types_equal	0.3598465919494629	0.5531565546989441	0.04188856482505798	0.11570967733860016	92300	36914	7279	48107
dataset_3_types_unequal	0.35412275791168213	0.5710639357566833	0.046639375388622284	0.11698391288518906	92600	33394	7662	51544
dataset_4_types_rare	0.5163094997406006	0.6955916881561279	0.033985115587711334	0.1169448122382164	93200	50349	8182	34669
dataset_multibatch_dropout	0.39969995617866516	0.556895911693573	0.025454549118876457	0.11049588024616241	291600	145828	36313	109459
AVG	0.4074947014451027		0.036991901230067015					
